mesh_level,h,reached_tf,tf_used,tau_interior,tau_qb,L2_error_final,rate_L2,Linf_error_final,rate_Linf,rate_status
4,0.25,True,1.0,0.0,0.0,0.00020925941347638502,nan,0.001703204242173073,nan,ok
8,0.125,True,1.0,0.0,0.0,6.7034434617098035e-06,4.9642463357406195,6.78965317071345e-05,4.648769757447817,ok
