mesh_level,tau_interior,tau_qb,time,L2_error,Linf_error,max_abs_q
4,0.0,0.0,0.0,0.0,0.0,1.0
4,0.0,0.0,0.007812499999999999,7.657187909096323e-05,0.0003904564015311529,0.9996212719323733
4,0.0,0.0,0.015624999999999998,0.0001402190540737814,0.0009331514036032829,1.0000575434782926
4,0.0,0.0,0.023437499999999997,0.00019657557255459455,0.001650500718143072,0.9978791164783574
4,0.0,0.0,0.031249999999999997,0.00025089336175488573,0.0024906333745922105,0.9997929835731183
4,0.0,0.0,0.03906249999999999,0.0003057412617838234,0.0033880541321583135,0.9996053549979416
4,0.0,0.0,0.04687499999999999,0.0003626244276543419,0.004300591934215892,0.998052318453242
4,0.0,0.0,0.05468749999999999,0.0004231353266882409,0.005216320336159375,0.9998908743753767
4,0.0,0.0,0.06249999999999999,0.0004890268065463068,0.006142249019478463,1.000016470755664
4,0.0,0.0,0.07031249999999999,0.0005620401867170983,0.007088296525414983,1.0001694028828925
4,0.0,0.0,0.07812499999999999,0.0006437403117432859,0.008055650957227933,0.9977480934545122
4,0.0,0.0,0.08593749999999999,0.0007353417418663362,0.009058867301883766,0.9993773600442414
4,0.0,0.0,0.09374999999999999,0.000837609161200559,0.010074353147797588,0.9999254740566146
4,0.0,0.0,0.10156249999999999,0.0009509132803768003,0.01108063904749823,0.9981246332962441
4,0.0,0.0,0.10937499999999999,0.001075393544431917,0.012059188976578428,1.0000722706717085
4,0.0,0.0,0.11718749999999999,0.0012111088537103522,0.012997629388975196,0.9996173914200445
4,0.0,0.0,0.12499999999999999,0.0013581008040953527,0.013888616783160446,1.0005897079468526
4,0.0,0.0,0.13281249999999997,0.001516370897003293,0.014726476122841725,0.9979006125166057
4,0.0,0.0,0.14062499999999997,0.0016858137689506258,0.01550241962181953,1.0005864364228354
4,0.0,0.0,0.14843749999999997,0.0018661467948672505,0.016200345835356567,0.998197963612749
4,0.0,0.0,0.15624999999999997,0.002056858629597116,0.016794876068783493,0.9999557516950784
4,0.0,0.0,0.16406249999999997,0.0022571850944765777,0.017252461405929287,1.0014261165221001
4,0.0,0.0,0.17187499999999997,0.002466113329399064,0.017535410406016028,0.9999663280480942
4,0.0,0.0,0.17968749999999997,0.002682410116587582,0.017632214404703417,0.9998600790852594
4,0.0,0.0,0.18749999999999997,0.002904666123355905,0.017512742657218694,1.0012769879708
4,0.0,0.0,0.19531249999999997,0.00313134660415192,0.01715720786643049,1.0013549313193482
4,0.0,0.0,0.20312499999999997,0.003360842304292917,0.016712994975572215,0.9978154677293645
4,0.0,0.0,0.21093749999999997,0.003591519811272663,0.018032373282771852,0.9994132348537991
4,0.0,0.0,0.21874999999999997,0.003821774175806416,0.01950401947222813,1.004942442536768
4,0.0,0.0,0.22656249999999997,0.004050085567053017,0.020793790554010205,1.0032740726556322
4,0.0,0.0,0.23437499999999997,0.004275076983407914,0.02188205511785357,1.0062718403590896
4,0.0,0.0,0.24218749999999997,0.004495565222535409,0.02276387931567181,1.0001772815269268
