time,L2_error,Linf_error,max_abs_q
0.0,0.0,0.0,1.0
0.0019531249999999998,7.844549188946621e-08,4.970450024534973e-07,0.9999812620038501
0.0039062499999999996,1.373954218228087e-07,1.0588568139027754e-06,0.9999997546912351
0.005859374999999999,1.7590876322324327e-07,1.592862389362959e-06,0.9998557110823189
0.007812499999999999,1.99460333226414e-07,1.991450034752318e-06,0.99997151726598
0.009765624999999998,2.1317416042871148e-07,2.2100830116139614e-06,0.9999665385436853
0.011718749999999998,2.2073621191596912e-07,2.27309088290939e-06,0.9998661455028676
0.013671874999999998,2.2459442575013596e-07,2.2421600239519446e-06,0.9999999169690441
0.015624999999999998,2.2613708398647036e-07,2.1824740767673045e-06,0.999999976354507
0.017578124999999997,2.2623592052169912e-07,2.1418944826101516e-06,0.9999999500421147
0.019531249999999997,2.2574414843649722e-07,2.143899237444513e-06,0.9998661307639863
0.021484374999999997,2.254507494634493e-07,2.1896096782381136e-06,0.9999665397007167
0.023437499999999997,2.2572986265647364e-07,2.2643843271552555e-06,0.9999714871119529
0.025390624999999997,2.2639778836302383e-07,2.346030008204547e-06,0.9998556790659149
0.027343749999999997,2.2692881412049297e-07,2.412741131718743e-06,0.9999997576540468
0.029296874999999997,2.268209380948899e-07,2.4493148164106415e-06,0.9999812716552121
0.031249999999999997,2.2587826811100721e-07,2.4505485060055676e-06,1.0000000136666134
0.03320312499999999,2.2431390311281436e-07,2.4213725460797697e-06,0.9999811447340177
0.03515624999999999,2.2267289962357502e-07,2.3741373390007148e-06,0.9999997337920916
0.03710937499999999,2.2161961392119044e-07,2.3242316800620166e-06,0.9998557263891557
0.03906249999999999,2.2167197989336592e-07,2.2855425851897593e-06,0.9999715264783932
0.04101562499999999,2.229912015572571e-07,2.2670742824137946e-06,0.9999665528756632
0.04296874999999999,2.2531412057211688e-07,2.288628257740566e-06,0.9998661687962582
0.04492187499999999,2.2804405545549802e-07,2.3341657132414095e-06,0.9999998913058571
0.04687499999999999,2.304425173496764e-07,2.393474650141947e-06,0.9999999278051512
0.04882812499999999,2.3183783102470754e-07,2.4570797090006646e-06,0.9999999249273461
0.05078124999999999,2.317865596949055e-07,2.515964099697454e-06,0.9998660689707994
0.05273437499999999,2.3015785494707637e-07,2.563015904788468e-06,0.9999664650320874
0.05468749999999999,2.271380577290507e-07,2.5935780823549415e-06,0.9999715102200634
0.05664062499999999,2.2317002939393804e-07,2.6053323484154234e-06,0.999855709846148
0.05859374999999999,2.1885120419527895e-07,2.5978791484138064e-06,0.99999972639175
