mesh_level,tau_interior,tau_qb,time,L2_error,Linf_error,max_abs_q
4,0.0,0.0,0.0,0.0,0.0,1.0
4,0.0,0.0,0.007812499999999999,7.566843835422305e-05,0.000381613112694381,0.9997084592359935
4,0.0,0.0,0.015624999999999998,0.00013298307880242982,0.0008318191961551036,1.0000644616179521
4,0.0,0.0,0.023437499999999997,0.00017278060183750898,0.0012751240819035559,0.9978493619496155
4,0.0,0.0,0.031249999999999997,0.00019874693194913166,0.0016225346915394456,0.9997104511923162
4,0.0,0.0,0.03906249999999999,0.0002142643226991442,0.0018330159425617998,0.9994798005278581
4,0.0,0.0,0.04687499999999999,0.0002226107095027137,0.0019232550394199244,0.9978862502163456
4,0.0,0.0,0.05468749999999999,0.00022682551888471145,0.001944797300112211,0.9999332346291926
4,0.0,0.0,0.06249999999999999,0.0002288864534088619,0.0019520271135479161,0.9999116074364488
4,0.0,0.0,0.07031249999999999,0.00022954473178653665,0.001978827562085006,1.0000540983579602
4,0.0,0.0,0.07812499999999999,0.00022891973915224615,0.0020313157055982245,0.997834291987121
4,0.0,0.0,0.08593749999999999,0.0002271307187518005,0.00209445046350909,0.9994869488353784
4,0.0,0.0,0.09374999999999999,0.00022455014666279084,0.0021451465882160736,0.9995958676675873
4,0.0,0.0,0.10156249999999999,0.0002217164897637002,0.0021643245081337525,0.9977275361951807
4,0.0,0.0,0.10937499999999999,0.00021909098615959026,0.002143363501672657,1.0000716095984
4,0.0,0.0,0.11718749999999999,0.00021685368562904253,0.0020842735807538038,0.9997404844245151
4,0.0,0.0,0.12499999999999999,0.0002148849261345512,0.0019956757370213074,1.0000492844193656
4,0.0,0.0,0.13281249999999997,0.00021293809642207708,0.001887619592723544,0.9994150580945527
4,0.0,0.0,0.14062499999999997,0.0002108716770808121,0.001767644205054486,1.0000768677969873
4,0.0,0.0,0.14843749999999997,0.00020879268011680648,0.0016391252570246984,0.9978367529689092
4,0.0,0.0,0.15624999999999997,0.0002070413686487202,0.0015016834606910168,0.9996738959779229
4,0.0,0.0,0.16406249999999997,0.0002060258119476064,0.0013972463791217526,0.9994745073074559
4,0.0,0.0,0.17187499999999997,0.0002059733782544977,0.001504848982847251,0.9979119163801661
4,0.0,0.0,0.17968749999999997,0.00020671951878330723,0.0016257888109308949,0.9999115759896714
4,0.0,0.0,0.18749999999999997,0.00020766362524854624,0.0017500039873605822,0.9998675500507128
4,0.0,0.0,0.19531249999999997,0.0002079380047120458,0.0018619885072211906,0.9999533936199367
4,0.0,0.0,0.20312499999999997,0.00020670918928271446,0.0019445913178154361,0.9977742633808339
4,0.0,0.0,0.21093749999999997,0.00020347016806035833,0.0019831545551163288,0.9993767463727596
4,0.0,0.0,0.21874999999999997,0.00019821646619166958,0.001968952596010154,0.9995800928529944
4,0.0,0.0,0.22656249999999997,0.00019146855353641552,0.0019011229922604178,0.9977388843080892
4,0.0,0.0,0.23437499999999997,0.00018415337508694628,0.00178670210949039,0.9999692692914468
4,0.0,0.0,0.24218749999999997,0.00017738053666944552,0.0016388675477920778,0.9997778651444111
4,0.0,0.0,0.24999999999999997,0.00017216307518998098,0.0014739145852138424,0.9999866339053256
4,0.0,0.0,0.25781249999999994,0.00016915667329228605,0.0013077535933686546,0.9996541308781491
4,0.0,0.0,0.26562499999999994,0.00016851125183207252,0.001152761945130587,1.0000887238685274
4,0.0,0.0,0.27343749999999994,0.00016989870479453378,0.0011287141817449275,0.9978883761591547
4,0.0,0.0,0.28124999999999994,0.00017269061607546216,0.0011866065593027497,0.9997366212050373
4,0.0,0.0,0.28906249999999994,0.00017618507619816912,0.0012373011911683829,0.9993274521265741
