mesh_level,h,reached_tf,tf_used,tau_interior,tau_qb,L2_error_final,rate_L2,Linf_error_final,rate_Linf,rate_status
4,0.25,True,5.0,0.0,0.0,0.0008673441466516698,nan,0.003799323746691563,nan,ok
8,0.125,True,5.0,0.0,0.0,3.5279393850345274e-05,4.619706863954983,0.00017807415132331528,4.415192631951052,ok
16,0.0625,True,5.0,0.0,0.0,1.7445585686358196e-06,4.3378918356996286,8.550996143386058e-06,4.3802418086753105,ok
