mesh_level,tau_interior,tau_qb,time,L2_error,Linf_error,max_abs_q
4,0.0,0.0,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0005524271728019902,2.9861316503965896e-06,1.2382663334475907e-05,0.9999994031665128
4,0.0,0.0,0.0011048543456039805,5.946043933756261e-06,2.4843491874357304e-05,0.9999869012896805
4,0.0,0.0,0.0016572815184059707,8.880951926977092e-06,3.738670147519774e-05,0.9999624777095055
4,0.0,0.0,0.002209708691207961,1.1791882274990594e-05,5.00159962635513e-05,0.9999261165331081
4,0.0,0.0,0.002762135864009951,1.467969230804097e-05,6.273459097900363e-05,0.9998778026324592
4,0.0,0.0,0.003314563036811941,1.754508782491561e-05,7.55452325823941e-05,0.9998175216409232
4,0.0,0.0,0.003866990209613931,2.0388639580061945e-05,8.8450221159872e-05,0.9997452599487019
4,0.0,0.0,0.004419417382415921,2.321079852011109e-05,0.00010145143015577451,0.999661004697264
4,0.0,0.0,0.004971844555217911,2.60119098224376e-05,0.00011455032595023701,0.9995647437728419
4,0.0,0.0,0.005524271728019901,2.879222579064048e-05,0.0001277479868210113,0.9994564657990739
4,0.0,0.0,0.006076698900821891,3.155191766645228e-05,0.00014104512130003188,0.9993690470779398
4,0.0,0.0,0.006629126073623881,3.4291086417723815e-05,0.00015444208595898762,0.999487147805497
4,0.0,0.0,0.007181553246425871,3.700977256410297e-05,0.00016793890263408148,0.9995933659223227
4,0.0,0.0,0.007733980419227861,3.970796510009178e-05,0.0001815352751176648,0.999687697924688
4,0.0,0.0,0.008286407592029851,4.238560957570619e-05,0.00019523060533510606,0.9997701401066585
4,0.0,0.0,0.008838834764831842,4.5042615392760954e-05,0.0002090240090197662,0.9998406885860509
4,0.0,0.0,0.009391261937633833,4.767886237291557e-05,0.00022291433090818394,0.9998993393295448
4,0.0,0.0,0.009943689110435824,5.0294206651544824e-05,0.0002369001594694324,0.9999460881769529
4,0.0,0.0,0.010496116283237815,5.288848594920381e-05,0.00025097984118257945,0.9999809308646468
4,0.0,0.0,0.011048543456039806,5.546152426931121e-05,0.00026515149438201095,1.0000038630481438
4,0.0,0.0,0.011600970628841797,5.8013136069406605e-05,0.00027941302267343957,1.0000148803238573
4,0.0,0.0,0.012153397801643788,6.054312994833931e-05,0.0002937621279460877,1.0000139782500184
4,0.0,0.0,0.012705824974445779,6.305131189206215e-05,0.0003081963229837042,1.0000011523667756
4,0.0,0.0,0.01325825214724777,6.553748811452148e-05,0.00032271294369069087,0.9999763982154793
4,0.0,0.0,0.01381067932004976,6.800146753172135e-05,0.00033730916094139307,0.9999397113571641
4,0.0,0.0,0.014363106492851751,7.044306390056643e-05,0.0003519819920678527,0.9998910873902347
4,0.0,0.0,0.014915533665653742,7.286209765401394e-05,0.00036672831198624606,0.9998305219673739
4,0.0,0.0,0.015467960838455733,7.525839746205103e-05,0.00038154486398581447,0.9997580108116785
4,0.0,0.0,0.016020388011257724,7.763180154355114e-05,0.0003964282701709905,0.9996735497320405
4,0.0,0.0,0.016572815184059713,7.998215875539466e-05,0.00041137504158410623,0.9995771346377863
4,0.0,0.0,0.017125242356861702,8.230932947936163e-05,0.0004263815879999369,0.999468761552588
4,0.0,0.0,0.01767766952966369,8.461318632972312e-05,0.0004414442274142047,0.9993484266276638
4,0.0,0.0,0.01823009670246568,8.68936146989117e-05,0.0004565591952193776,0.99921612615428
4,0.0,0.0,0.01878252387526767,8.915051315961212e-05,0.0004717226530886187,0.9990718565755751
4,0.0,0.0,0.01933495104806966,9.138379373969167e-05,0.0004869306975626847,0.9989156144977173
4,0.0,0.0,0.019887378220871648,9.359338208327088e-05,0.0005021793683540887,0.9987473967004158
4,0.0,0.0,0.020439805393673637,9.577921751305537e-05,0.000517464656369003,0.998567200146802
4,0.0,0.0,0.020992232566475626,9.79412530048943e-05,0.0005327825114605431,0.9983750219926967
4,0.0,0.0,0.021544659739277616,0.00010007945508615816,0.0005481288499073894,0.9983650825687442
4,0.0,0.0,0.022097086912079605,0.00010219380366825551,0.0005634995616367044,0.998561650913074
4,0.0,0.0,0.022649514084881594,0.00010428429182174047,0.0005788905171848907,0.9987461734279179
4,0.0,0.0,0.023201941257683583,0.00010635092550375874,0.0005942975744088613,0.9989186473843129
4,0.0,0.0,0.023754368430485572,0.00010839372324325308,0.0006097165849475172,0.9990790701995924
4,0.0,0.0,0.02430679560328756,0.00011041271579319479,0.0006251434004455325,0.9992274394382468
4,0.0,0.0,0.02485922277608955,0.00011240794575378338,0.0006405738785327936,0.9993637528127439
4,0.0,0.0,0.02541164994889154,0.00011437946717354517,0.0006560038885769781,0.9994880081843105
4,0.0,0.0,0.02596407712169353,0.00011632734513291572,0.0006714293172025293,0.9996002035636741
4,0.0,0.0,0.026516504294495518,0.00011825165531421865,0.000686846073587391,0.9997003371117704
4,0.0,0.0,0.027068931467297507,0.0001201524835627817,0.0007022500945366994,0.9997884071404137
4,0.0,0.0,0.027621358640099496,0.00012202992544232842,0.0007176373493449628,0.9998644121129339
4,0.0,0.0,0.028173785812901486,0.00012388408578765679,0.0007330038444391535,0.9999283506447788
4,0.0,0.0,0.028726212985703475,0.00012571507825771296,0.0007483456278199602,0.9999802215040858
4,0.0,0.0,0.029278640158505464,0.00012752302489079276,0.0007636587932935424,1.0000200236122223
4,0.0,0.0,0.029831067331307453,0.00012930805566528408,0.00077893948450522,1.0000477560442944
4,0.0,0.0,0.030383494504109442,0.00013107030806601666,0.0007941838987735178,1.0000634180296268
4,0.0,0.0,0.03093592167691143,0.00013280992665955406,0.0008093882907355965,1.000067008952216
4,0.0,0.0,0.031488348849713424,0.0001345270626782217,0.0008245489757965074,1.0000585283511525
4,0.0,0.0,0.03204077602251541,0.00013622187361562598,0.0008396623333990771,1.0000379759210194
4,0.0,0.0,0.0325932031953174,0.0001378945228329132,0.0008547248101063998,1.0000053515122624
4,0.0,0.0,0.03314563036811939,0.00013954517917788944,0.0008697329225079986,1.0000465435197992
4,0.0,0.0,0.03369805754092138,0.00014117401661692118,0.0008846832599485321,1.0000796532270535
4,0.0,0.0,0.03425048471372337,0.00014278121388030052,0.0008995724870887734,1.0001007054566717
4,0.0,0.0,0.03480291188652536,0.00014436695412156877,0.0009143973462921451,1.0001096991077734
4,0.0,0.0,0.03535533905932735,0.00014593142459064744,0.0009291546598528821,1.0001066332198743
4,0.0,0.0,0.03590776623212934,0.00014747481632125154,0.0009438413320579653,1.000091506973944
4,0.0,0.0,0.036460193404931326,0.0001489973238326284,0.000958454351093263,1.0000643196934378
4,0.0,0.0,0.037012620577733316,0.00015049914484524388,0.0009729907907936042,1.0000250708453053
4,0.0,0.0,0.037565047750535305,0.00015198048001083218,0.0009874478122453845,0.9999737600409718
4,0.0,0.0,0.038117474923337294,0.00015344153265603656,0.0010018226652351858,0.9999103870372946
4,0.0,0.0,0.03866990209613928,0.00015488250853997232,0.0010161126895615324,0.9998349517374939
4,0.0,0.0,0.03922232926894127,0.00015630361562503977,0.0010303153161978218,0.9997474541920565
4,0.0,0.0,0.03977475644174326,0.00015770506386079638,0.0010444280683263862,0.9996478945996135
4,0.0,0.0,0.04032718361454525,0.00015908706498063684,0.0010584485622287254,0.9995362733077926
4,0.0,0.0,0.04087961078734724,0.0001604498323106611,0.0010723745080538083,0.9994125908140428
4,0.0,0.0,0.04143203796014923,0.00016179358059056253,0.001086203710451511,0.999276847766432
4,0.0,0.0,0.04198446513295122,0.00016311852580596143,0.0010999340690884818,0.9991290449644191
4,0.0,0.0,0.04253689230575321,0.0001644248850315582,0.001113563579036303,0.9989691833595987
4,0.0,0.0,0.043089319478555196,0.00016571287628518072,0.0011270903310494629,0.9987972640564194
4,0.0,0.0,0.043641746651357186,0.0001669827183915658,0.0011405125117220083,0.9986132883128749
4,0.0,0.0,0.044194173824159175,0.00016823463085601742,0.0011538284035383373,0.9984172575411685
4,0.0,0.0,0.044746600996961164,0.00016946883374681322,0.0011670363848136356,0.9982091733083516
4,0.0,0.0,0.04529902816976315,0.00017068554758665103,0.0011801349295321173,0.9979890373369348
4,0.0,0.0,0.04585145534256514,0.00017188499325188254,0.0011931226070805434,0.9977568515054738
4,0.0,0.0,0.04640388251536713,0.0001730673918794667,0.0012059980818889815,0.9976807833305739
4,0.0,0.0,0.04695630968816912,0.00017423296478140203,0.001218760112971895,0.9979220637532861
4,0.0,0.0,0.04750873686097111,0.00017538193336521864,0.0012314075533808033,0.9981513138531479
4,0.0,0.0,0.0480611640337731,0.0001765145190613639,0.0012439393495677353,0.9983685308171433
4,0.0,0.0,0.04861359120657509,0.00017763094325603127,0.001256354540663751,0.9985737119575309
4,0.0,0.0,0.04916601837937708,0.0001787314272293091,0.0012686522576750292,0.9987668547126405
4,0.0,0.0,0.049718445552179066,0.00017981619209849706,0.001280831722601239,0.9989479566476798
4,0.0,0.0,0.050270872724981056,0.00018088545876565073,0.0012928922474769178,0.99911701545555
