mesh_level,time,L2_error,Linf_error,max_abs_q
32,0.0,0.0,0.0,1.0
32,0.0009765624999999999,2.477473386640591e-09,1.6032239029406536e-08,0.999995314590293
32,0.0019531249999999998,4.5237928312825975e-09,3.7064058610453143e-08,0.9999999344278859
32,0.0029296874999999996,6.3319160956321015e-09,6.370172365641191e-08,0.999963917370947
32,0.0039062499999999996,8.093647668104698e-09,9.37160082453703e-08,0.9999928692394959
32,0.004882812499999999,9.85123492853571e-09,1.2438919608226406e-07,0.9999916340336077
32,0.005859374999999999,1.1611540100834275e-08,1.5397099070724174e-07,0.9999665347234656
32,0.006835937499999999,1.3430818800743787e-08,1.8199292164955416e-07,0.9999999831079477
32,0.007812499999999999,1.5417881048385614e-08,2.0889298148196733e-07,1.0000000000641855
32,0.008789062499999998,1.7702445596980617e-08,2.35450214991495e-07,0.999999984276907
32,0.009765624999999998,2.040234474477489e-08,2.633990632688876e-07,0.9999665334541918
32,0.010742187499999998,2.3604094880580227e-08,2.932208895134458e-07,0.9999916330745323
32,0.011718749999999998,2.736044824341314e-08,3.2483525366777677e-07,0.999992869807897
32,0.012695312499999998,3.169969799390012e-08,3.582316142336506e-07,0.9999639184105034
32,0.013671874999999998,3.663779109153562e-08,3.9324734824042196e-07,0.9999999345200372
32,0.014648437499999998,4.2187256201929334e-08,4.297880711046087e-07,0.999995314569344
32,0.015624999999999998,4.836173582355397e-08,4.6784989485293416e-07,1.0000000024325109
32,0.016601562499999997,5.517737055801024e-08,5.075122155306921e-07,0.9999953024286693
32,0.017578124999999997,6.265235417293269e-08,5.48888526991087e-07,0.9999999368965209
32,0.018554687499999997,7.080533170505985e-08,5.92058124998518e-07,0.9999639189902778
32,0.019531249999999997,7.965297874447288e-08,6.369987100296459e-07,0.9999928701121593
32,0.020507812499999997,8.920713405179026e-08,6.835345261191339e-07,0.9999916455534096
32,0.021484374999999997,9.9471967135829e-08,7.313093350336253e-07,0.9999665466994098
32,0.022460937499999997,1.1044166883635912e-07,7.805886624301372e-07,0.9999999821377681
32,0.023437499999999997,1.2209904900095218e-07,8.304631429756348e-07,1.000000008555421
32,0.024414062499999997,1.3441526289319338e-07,8.800417835019836e-07,0.9999999935388333
32,0.025390624999999997,1.47350709359255e-07,9.285887139776072e-07,0.9999664946921428
32,0.026367187499999997,1.6085697489460675e-07,9.76110565292787e-07,0.9999915908115743
32,0.027343749999999997,1.7487956252692433e-07,1.0224950592330195e-06,0.9999929019726911
32,0.028320312499999997,1.893610630479069e-07,1.0664007491500982e-06,0.9999639509676702
32,0.029296874999999997,2.0424440596630887e-07,1.1103772106502152e-06,0.9999999118672258
32,0.030273437499999997,2.194758600304794e-07,1.1539740661370423e-06,0.9999953166335371
32,0.031249999999999997,2.350075184398167e-07,1.196782980383837e-06,1.000000012046838
32,0.03222656249999999,2.507990828059205e-07,1.239485030862797e-06,0.9999953074602028
32,0.03320312499999999,2.66818838957722e-07,1.2828237674344933e-06,0.9999999505305345
32,0.03417968749999999,2.830437960092867e-07,1.3275114914279573e-06,0.9999639281269278
32,0.03515624999999999,2.994590373860688e-07,1.374147115790203e-06,0.9999928806686381
32,0.03613281249999999,3.160564136064727e-07,1.4231590564628416e-06,0.9999916776840919
32,0.03710937499999999,3.328327841163477e-07,1.4747815960669541e-06,0.9999665781015342
32,0.03808593749999999,3.497880790414614e-07,1.5290667780276657e-06,0.9999999904787066
32,0.03906249999999999,3.6692348458997215e-07,1.5859274475338303e-06,1.0000000234106123
32,0.04003906249999999,3.842400438305317e-07,1.6452017402857066e-06,1.0000000518479935
32,0.04101562499999999,4.0173790224894246e-07,1.7067261071646023e-06,0.9999663273256486
32,0.04199218749999999,4.194163216905773e-07,1.7704032574950013e-06,0.9999914188411785
32,0.04296874999999999,4.372744536149415e-07,1.8362531968851847e-06,0.9999929589100246
32,0.04394531249999999,4.5531272869890786e-07,1.9044393107514601e-06,0.9999640055226088
32,0.04492187499999999,4.735346085543106e-07,1.9802758903231243e-06,0.9999998251399165
32,0.04589843749999999,4.919483760561161e-07,2.0645345404912696e-06,0.9999953295111411
32,0.04687499999999999,5.105686237022687e-07,2.151914884174211e-06,1.000000112511108
32,0.04785156249999999,5.29417134630609e-07,2.2424839311030453e-06,0.9999953087211696
32,0.04882812499999999,5.485229318773794e-07,2.336293719207294e-06,0.9999999781210511
32,0.04980468749999999,5.679213860191016e-07,2.433385105693464e-06,0.9999639424304493
32,0.05,5.718396241505937e-07,2.4532001347554733e-06,0.9999817806134618
