nx,ny,K_tri,h,hmin,Np,total_dof,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,projection_enabled,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,2.0,2.0,True,1.0,0.031249999999999997,64,5.6439923245113785e-06,1.8376557377020042e-05,5.6439923245113785e-06,1.8376557377020042e-05,0.029976500001794193,True,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,2.0,2.0,True,1.0,0.015624999999999998,128,2.3794032715835166e-07,1.5999981745062897e-06,2.3794032715835166e-07,1.5999981745062897e-06,0.07533529999636812,True,4.568044314148685,3.5217243564864056
4,4,32,0.25,0.17677669529663687,22,704,2.0,2.0,True,1.0,0.007812499999999999,256,9.921068092614204e-09,8.880590995907767e-08,9.921068092614204e-09,8.880590995907767e-08,0.16494770000281278,True,4.58396054834281,4.171270758947934
8,8,128,0.125,0.08838834764831843,22,2816,2.0,2.0,True,1.0,0.0039062499999999996,512,1.2546054586040516e-09,2.239602991949141e-08,1.2546054586040516e-09,2.239602991949141e-08,0.4973731999998563,True,2.9832617033998625,1.9874126774172443
16,16,512,0.0625,0.044194173824159216,22,11264,2.0,2.0,True,1.0,0.0019531249999999998,1024,2.2023913365687456e-10,5.589154583596212e-09,2.2023913365687456e-10,5.589154583596212e-09,2.609193900003447,True,2.510090999613017,2.002541030097851
32,32,2048,0.03125,0.022097086912079608,22,45056,2.0,2.0,True,1.0,0.0009765624999999999,2048,3.8896170310104966e-11,1.3945540278115232e-09,3.8896170310104966e-11,1.3945540278115232e-09,56.59970909999538,True,2.501370819437944,2.002826248951971
