nx,ny,K_tri,h,hmin,Np,total_dof,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,projection_enabled,projection_mode,projection_frequency,surface_inverse_mass_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,6.283185307179586,6.283185307179586,True,0.1,0.004419417382415922,1422,0.10006007973236149,0.811912803067893,0.10006007973236149,0.811912803067893,2.1411089000175707,False,post,step,diagonal,sinx_rk_stage,inflow,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,6.283185307179586,6.283185307179586,True,0.1,0.002209708691207961,2844,0.007514805046149397,0.06058827809213019,0.007514805046149397,0.06058827809213019,1.8074371000111569,False,post,step,diagonal,sinx_rk_stage,inflow,3.7349870195075203,3.744214184601243
4,4,32,0.25,0.17677669529663687,22,704,6.283185307179586,6.283185307179586,True,0.1,0.0011048543456039805,5687,0.0010547205120998344,0.007134441764235611,0.0010547205120998344,0.007134441764235611,3.7905679999967106,False,post,step,diagonal,sinx_rk_stage,inflow,2.8328749240948685,3.086166249736634
8,8,128,0.125,0.08838834764831843,22,2816,6.283185307179586,6.283185307179586,True,0.1,0.0005524271728019902,11374,0.0001391081328748246,0.0009692445700425489,0.0001391081328748246,0.0009692445700425489,14.813503300014418,False,post,step,diagonal,sinx_rk_stage,inflow,2.922582079448238,2.879867897403972
16,16,512,0.0625,0.044194173824159216,22,11264,6.283185307179586,6.283185307179586,True,0.1,0.0002762135864009951,22748,1.7926495463790913e-05,0.00012187547503572649,1.7926495463790913e-05,0.00012187547503572649,91.76999480000813,False,post,step,diagonal,sinx_rk_stage,inflow,2.9560413871187423,2.9914529055646533
