nx,ny,K_tri,h,hmin,Np,total_dof,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,projection_enabled,projection_mode,projection_frequency,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,6.283185307179586,6.283185307179586,True,1.0,0.031249999999999997,202,0.00391210064098193,0.015252667360285077,0.00391210064098193,0.015252667360285077,0.12035030001425184,True,post,step,sinx_rk_stage,inflow,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,6.283185307179586,6.283185307179586,True,1.0,0.015624999999999998,403,0.00037516895480775006,0.0020187962429764894,0.00037516895480775006,0.0020187962429764894,0.2199933000083547,True,post,step,sinx_rk_stage,inflow,3.382331129866648,2.917494348793439
4,4,32,0.25,0.17677669529663687,22,704,6.283185307179586,6.283185307179586,True,1.0,0.007812499999999999,805,0.00016356791598878055,0.0017507757002127033,0.00016356791598878055,0.0017507757002127033,0.5755995000072289,True,post,step,sinx_rk_stage,inflow,1.1976506599800303,0.20550104143630973
8,8,128,0.125,0.08838834764831843,22,2816,6.283185307179586,6.283185307179586,True,1.0,0.0039062499999999996,1609,7.464556675173962e-05,0.00115574461713501,7.464556675173962e-05,0.00115574461713501,1.9971875000046566,True,post,step,sinx_rk_stage,inflow,1.131761304517312,0.5991716221716861
16,16,512,0.0625,0.044194173824159216,22,11264,6.283185307179586,6.283185307179586,True,1.0,0.0019531249999999998,3217,8.871631915512857e-07,1.9496560919840013e-05,8.871631915512857e-07,1.9496560919840013e-05,11.47401059998083,True,post,step,sinx_rk_stage,inflow,6.3947132608454424,5.889459169644313
