nx,ny,K_tri,h,hmin,Np,total_dof,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,projection_enabled,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,1.0,1.0,True,1.0,0.031249999999999997,32,2.2093603440875865e-05,8.197872995185929e-05,2.2093603440875865e-05,8.197872995185929e-05,0.7389216999945347,True,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,1.0,1.0,True,1.0,0.015624999999999998,64,7.346291832290601e-07,5.12521992962478e-06,7.346291832290601e-07,5.12521992962478e-06,0.03719940000155475,True,4.910468721097322,3.9995638204066015
4,4,32,0.25,0.17677669529663687,22,704,1.0,1.0,True,1.0,0.007812499999999999,128,2.476004523984696e-08,1.772399312871542e-07,2.476004523984696e-08,1.772399312871542e-07,0.1039080999980797,True,4.890930352774796,4.8538383360613055
8,8,128,0.125,0.08838834764831843,22,2816,1.0,1.0,True,1.0,0.0039062499999999996,256,1.236253034840302e-09,2.137886234709896e-08,1.236253034840302e-09,2.137886234709896e-08,0.31729400000040187,True,4.323967982817533,3.0514466838621948
16,16,512,0.0625,0.044194173824159216,22,11264,1.0,1.0,True,1.0,0.0019531249999999998,512,1.6736717072806e-10,5.152250737161523e-09,1.6736717072806e-10,5.152250737161523e-09,2.118868700003077,True,2.884885588234309,2.05291037381989
32,32,2048,0.03125,0.022097086912079608,22,45056,1.0,1.0,True,1.0,0.0009765624999999999,1024,2.913371178118684e-11,1.284974238124903e-09,2.913371178118684e-11,1.284974238124903e-09,28.794371100004355,True,2.5222551443762637,2.0034633689614116
