nx,ny,K_tri,h,hmin,Np,total_dof,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,projection_enabled,projection_mode,projection_frequency,surface_inverse_mass_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,6.283185307179586,6.283185307179586,True,0.1,0.004419417382415922,1422,0.10006008003635346,0.811912804362291,0.10006008003635346,0.811912804362291,0.9254805000091437,False,post,step,diagonal,none,inflow,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,6.283185307179586,6.283185307179586,True,0.1,0.002209708691207961,2844,0.007514805055463468,0.06058827818269774,0.007514805055463468,0.06058827818269774,0.978882999974303,False,post,step,diagonal,none,inflow,3.734987022102445,3.7442141847447252
4,4,32,0.25,0.17677669529663687,22,704,6.283185307179586,6.283185307179586,True,0.1,0.0011048543456039805,5687,0.001054720514746369,0.00713444180673517,0.001054720514746369,0.00713444180673517,2.393963899987284,False,post,step,diagonal,none,inflow,2.832874922262936,3.0861662432991075
8,8,128,0.125,0.08838834764831843,22,2816,6.283185307179586,6.283185307179586,True,0.1,0.0005524271728019902,11374,0.00013910813225661057,0.0009692445849094344,0.00013910813225661057,0.0009692445849094344,7.4054365000047255,False,post,step,diagonal,none,inflow,2.922582089479808,2.8798678838690757
16,16,512,0.0625,0.044194173824159216,22,11264,6.283185307179586,6.283185307179586,True,0.1,0.0002762135864009951,22748,1.7926493085817803e-05,0.00012187559256660041,1.7926493085817803e-05,0.00012187559256660041,52.70001530001173,False,post,step,diagonal,none,inflow,2.9560415720826243,2.9914515364282566
