nx,ny,K_tri,h,hmin,Np,total_dof,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,projection_enabled,projection_mode,projection_frequency,surface_inverse_mass_mode,test_function_mode,physical_boundary_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,1.0,1.0,True,1.0,0.044194173824159216,23,0.6682645557715648,3.3807496988638794,0.6682645557715648,3.3807496988638794,0.296694499993464,False,post,step,diagonal,sin2pi_x,opposite_boundary,none,inflow,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,1.0,1.0,True,1.0,0.022097086912079608,46,0.19353948853791803,0.8977299204191554,0.19353948853791803,0.8977299204191554,0.026434400002472103,False,post,step,diagonal,sin2pi_x,opposite_boundary,none,inflow,1.7877914022896497,1.9129898226149664
4,4,32,0.25,0.17677669529663687,22,704,1.0,1.0,True,1.0,0.011048543456039804,91,0.014632521989363786,0.06983643905928683,0.014632521989363786,0.06983643905928683,0.08953580001252703,False,post,step,diagonal,sin2pi_x,opposite_boundary,none,inflow,3.725377602686047,3.6842295760670294
8,8,128,0.125,0.08838834764831843,22,2816,1.0,1.0,True,1.0,0.005524271728019902,182,0.00187631663808562,0.008182444250249055,0.00187631663808562,0.008182444250249055,0.2251377000065986,False,post,step,diagonal,sin2pi_x,opposite_boundary,none,inflow,2.9632032309920926,3.093376225373103
16,16,512,0.0625,0.044194173824159216,22,11264,1.0,1.0,True,1.0,0.002762135864009951,363,0.00024176723758951156,0.001086136334195631,0.00024176723758951156,0.001086136334195631,1.0906983999884687,False,post,step,diagonal,sin2pi_x,opposite_boundary,none,inflow,2.9562126504439616,2.913326663007027
