time,L2_error,Linf_error,max_abs_q
0.0,0.0,0.0,1.0
9.765624999999999e-05,2.6301723220684633e-10,1.4714728099191055e-09,0.9999992470644685
0.00019531249999999998,5.233130158485346e-10,2.958469978546485e-09,0.9999969881411956
0.00029296875,7.806022417209792e-10,4.466238496224351e-09,0.9999932232338371
0.00039062499999999997,1.0345377785904367e-09,5.999979710985537e-09,0.9999907461748633
0.00048828124999999995,1.2847688129176538e-09,7.56473508270114e-09,0.9999952725312088
0.0005859375,1.5309783362865127e-09,9.165298924971796e-09,0.9999982929099012
0.00068359375,1.7729056952116974e-09,1.0806148761617965e-08,0.9999998073065112
0.0007812499999999999,2.0103585539221133e-09,1.2491391082961045e-08,0.9999998157188295
0.0008789062499999999,2.2432175362503785e-09,1.4224719273141229e-08,0.999998318146875
0.0009765624999999999,2.4714356336343533e-09,1.6009389058359302e-08,0.9999953145929017
0.0010742187499999999,2.6950343920228167e-09,1.7848193581936067e-08,0.9999908050614051
0.001171875,2.9140976679830907e-09,1.9743461213139746e-08,0.9999847895591275
0.00126953125,3.128764234063049e-09,2.1697050612765056e-08,0.9999772680950622
0.0013671875000000001,3.339219484474706e-09,2.3710356398740084e-08,0.9999754983839209
0.0014648437500000002,3.545686925094952e-09,2.5784319582222714e-08,0.9999833359773758
0.0015625000000000003,3.748419833804916e-09,2.7919442546070483e-08,0.999989667613597
0.0016601562500000004,3.947693053038462e-09,3.011580774342493e-08,0.999994493283001
0.0017578125000000005,4.143795529977229e-09,3.237309947022593e-08,0.9999978129782718
0.0018554687500000006,4.337023244018914e-09,3.4690628010827784e-08,0.9999996266943616
0.0019531250000000004,4.527672942651992e-09,3.706735562415686e-08,0.9999999344284917
0.0020507812500000005,4.716036682078754e-09,3.950192477980563e-08,0.9999987361801533
0.0021484375000000006,4.902397033618995e-09,4.1992681956704025e-08,0.9999999282762855
0.0022460937500000007,5.087023289801392e-09,4.453771617826674e-08,0.9999996412411642
0.0023437500000000008,5.2701681729058645e-09,4.7134874666537874e-08,0.9999978482235783
0.002441406250000001,5.452065555361845e-09,4.9781805885884545e-08,0.9999945492261694
0.002539062500000001,5.632928720371245e-09,5.247597470101062e-08,0.9999897442538513
0.002636718750000001,5.812949260904056e-09,5.5214699173911086e-08,0.9999834333138099
0.002734375000000001,5.992296798027396e-09,5.7995177667191644e-08,0.9999756164155035
0.002832031250000001,6.171118904585983e-09,6.081450616007844e-08,0.9999662935706627
0.0029296875000000013,6.349541770134591e-09,6.366971670723753e-08,0.9999639173546383
0.0030273437500000014,6.527670960214834e-09,6.655778803446588e-08,0.9999735893821248
0.0031250000000000015,6.705592793891372e-09,6.94756780335315e-08,0.9999817554666942
0.0032226562500000016,6.883375785121379e-09,7.242034062021618e-08,0.9999884155959754
0.0033203125000000016,7.061072269535911e-09,7.53887466134473e-08,0.999993569759867
0.0034179687500000017,7.238720287218655e-09,7.837790225867503e-08,0.9999972179505372
0.003515625000000002,7.4163452950464166e-09,8.138486634612363e-08,0.9999993601624247
0.003613281250000002,7.593962237078159e-09,8.44067658267722e-08,0.9999999963922385
0.003710937500000002,7.771577318071095e-09,8.744081005096493e-08,0.9999991266389582
0.003808593750000002,7.949189887141446e-09,9.048430349434256e-08,0.9999967509038341
0.003906250000000002,8.126794213258853e-09,9.35346571515061e-08,0.9999928691903874
0.004003906250000001,8.304381039519752e-09,9.658939936069144e-08,0.9999901405521812
0.004101562500000001,8.481939327597139e-09,9.964617996710556e-08,0.9999948373909905
0.004199218750000001,8.659457542636939e-09,1.0270278744811678e-07,0.9999980282527883
0.004296875,8.836925093372888e-09,1.057571416551717e-07,0.9999997131326913
0.00439453125,9.01433339998423e-09,1.0880731281942557e-07,0.9999998920280861
0.0044921875,9.191676906283573e-09,1.118515119691299e-07,0.99999856493863
0.004589843749999999,9.368954119298864e-09,1.1488810328086352e-07,0.9999957318662507
0.004687499999999999,9.546168218701605e-09,1.1791560122070832e-07,0.9999913928151465
0.004785156249999999,9.723327939643318e-09,1.2093267204305036e-07,0.9999858611009903
0.004882812499999998,9.900447871359586e-09,1.2393813344363513e-07,0.9999916340339078
0.004980468749999998,1.0077548947850403e-08,1.269309534146501e-07,0.9999959009973103
0.005078124999999998,1.0254658819295699e-08,1.299102483087733e-07,0.9999986619847401
0.005175781249999997,1.04318119957765e-08,1.3287528016076022e-07,0.9999999169920097
0.005273437499999997,1.060905018862257e-08,1.3582545339146934e-07,0.999999666017202
0.0053710937499999965,1.0786422057845741e-08,1.3876031084575358e-07,0.9999979090606697
0.005468749999999996,1.0963983396580804e-08,1.4167953028831892e-07,0.9999946461250356
0.005566406249999996,1.1141796981436551e-08,1.445829150084621e-07,0.9999898772151934
0.0056640624999999955,1.131993249149195e-08,1.4747039734502865e-07,0.9999836023383062
