nx,ny,K_tri,h,Np,Nq_dense,total_dof,node_L2,node_Linf,dense_L2,dense_Linf,elapsed_sec,rate_node_L2,rate_node_Linf,rate_dense_L2,rate_dense_Linf
1,1,2,1.0,22,91,44,0.030606335398285486,0.15592839771344322,0.09503286079721002,0.258059514499046,0.0010363000001234468,nan,nan,nan,nan
2,2,8,0.5,22,91,176,0.0036662494026467756,0.015738298301825073,0.008423289013742284,0.027183724915780083,0.0014632000002166023,3.0614534803382116,3.3085322324184365,3.4959708871196864,3.246888759353168
4,4,32,0.25,22,91,704,0.00017293770743238596,0.001467796184041248,0.0004401224484087843,0.0041245435474833725,0.0026980000002367888,4.40598055651127,3.4225560016159218,4.2584068043888035,2.7204367844412523
8,8,128,0.125,22,91,2816,6.018525290790957e-06,8.19807627887581e-05,1.6747331989741708e-05,0.00016045025931243906,0.011322599999402883,4.844698629942029,4.162222427842222,4.7159017742874445,4.684036442528463
16,16,512,0.0625,22,91,11264,1.9339665123276198e-07,2.780953127445862e-06,5.415963324444196e-07,5.513775346188687e-06,0.05310060000010708,4.9597753100267585,4.8816340799787925,4.950569499149819,4.862941823779409
32,32,2048,0.03125,22,91,45056,6.086971606314898e-09,8.780861349144686e-08,1.7073274212242893e-08,1.738478688784184e-07,0.20142830000077083,4.989694367621692,4.985073151932759,4.9874063077825035,4.987143200287941
64,64,8192,0.015625,22,91,180224,1.905582103571859e-10,2.7525857149157673e-09,5.347071545813128e-10,5.4772874014119566e-09,0.7095922999997128,4.997420961837962,4.995503071510605,4.996846965589963,4.988219988903482
128,128,32768,0.0078125,22,91,720896,5.9576047237426466e-12,8.603029399978368e-11,1.6718735374338962e-11,1.712702202283367e-10,3.0108902999982092,4.999355552400093,4.999798911430947,4.999211351228718,4.999115354331393
256,256,131072,0.00390625,22,91,2883584,1.861965997374063e-13,2.687849942617504e-12,5.225325776450119e-13,5.354383603162205e-12,12.090823900000032,4.999833774350273,5.000320265392952,4.999800928307003,4.9994100116083855
