nx,ny,K_tri,h,Np,Nq_dense,total_dof,node_L2,node_Linf,dense_L2,dense_Linf,elapsed_sec,rate_node_L2,rate_node_Linf,rate_dense_L2,rate_dense_Linf
1,1,2,1.0,22,91,44,0.15696917059888243,0.5070129524549813,0.17716754724689054,0.6222220260353382,0.006275300000197603,nan,nan,nan,nan
2,2,8,0.5,22,91,176,0.02074905605868348,0.12324103258051722,0.025464741294969093,0.19807019860848718,0.0010609000000840751,2.919363625377499,2.0405399284208974,2.7985413961263856,1.6514176352482277
4,4,32,0.25,22,91,704,0.0018479622188757594,0.01644183776587399,0.0021631563307067713,0.01805861405884157,0.0027294000010442687,3.4890385384836935,2.9060392066449543,3.5572912231268634,3.4552527505578476
8,8,128,0.125,22,91,2816,0.00013968825176375,0.0019488022343370215,0.00016790304567710824,0.0026475489524910856,0.011304999999993015,3.7256526658997,3.0767119659215987,3.6874376268472084,2.769957910181564
16,16,512,0.0625,22,91,11264,9.03498372228549e-06,0.00014249097101959318,1.0877443383607828e-05,0.00020191343769271342,0.054884400000446476,3.950544878392603,3.7736452819241224,3.9482169874015094,3.712848526662639
32,32,2048,0.03125,22,91,45056,5.695569373532084e-07,9.26067835771427e-06,6.859943636094077e-07,1.3255593508398889e-05,0.17416210000010324,3.9876100245842356,3.9436088183746727,3.9869989748223134,3.929063755485851
64,64,8192,0.015625,22,91,180224,3.567397049396052e-08,5.844714170422094e-07,4.2971589721094e-08,8.386930897552602e-07,0.7651583999995637,3.9968963711447554,3.985913498680739,3.996741667432854,3.9823144876063132
128,128,32768,0.0078125,22,91,720896,2.2308232035647826e-09,3.661872405302802e-08,2.687242159941814e-09,5.2579101628147384e-08,2.8925217000014527,3.9992237086799403,3.996479045309598,3.999184909860011,3.995581572069024
256,256,131072,0.00390625,22,91,2883584,1.394452122345109e-10,2.290067468990742e-09,1.6797636744721675e-10,3.2887111922619283e-09,10.820530999999391,3.9998058758566124,3.999119514454705,3.9997961552056402,3.99889526774527
