mesh_level,time,L2_error,Linf_error,max_abs_q
32,0.0,0.0,0.0,1.0
32,0.0009765624999999999,2.261036735255858e-09,1.4004660949147596e-08,0.9999953145531509
32,0.0019531249999999998,4.079029627139547e-09,2.6565623692173523e-08,0.9999999343270427
32,0.0029296874999999996,5.637433218089448e-09,3.744270360428459e-08,0.9999639173198941
32,0.0039062499999999996,7.022519622436089e-09,4.774184272221538e-08,0.999992869168936
32,0.004882812499999999,8.318986435765135e-09,6.915190335632371e-08,0.999991633911728
32,0.005859374999999999,9.599795566418283e-09,9.287240435029709e-08,0.9999665345411015
32,0.006835937499999999,1.09107446065688e-08,1.1823016145273701e-07,0.9999999829681049
32,0.007812499999999999,1.227171127715395e-08,1.4467286924002565e-07,0.9999999999673068
32,0.008789062499999998,1.3687051752203195e-08,1.717844458071216e-07,0.9999999838143672
32,0.009765624999999998,1.5154874613288698e-08,1.9927703932831609e-07,0.9999665334920449
32,0.010742187499999998,1.6671520082233063e-08,2.2696792056908777e-07,0.9999916332630728
32,0.011718749999999998,1.8232540530372328e-08,2.547499773630779e-07,0.9999928687795643
32,0.012695312499999998,1.983251191667654e-08,2.825630002756263e-07,0.9999639169949868
32,0.013671874999999998,2.146503586877923e-08,3.103704482310121e-07,0.9999999347361398
32,0.014648437499999998,2.3123196738505442e-08,3.381438158922556e-07,0.9999953146330095
32,0.015624999999999998,2.4800214680786316e-08,3.6585451859694196e-07,1.0000000002869225
32,0.016601562499999997,2.6490001901208805e-08,3.934718367515355e-07,0.9999953060775219
32,0.017578124999999997,2.8187489597763373e-08,4.209647480879486e-07,0.999999934976492
32,0.018554687499999997,2.988873710549555e-08,4.48305503802926e-07,0.9999639190821517
32,0.019531249999999997,3.159089565991556e-08,4.7547315454310457e-07,0.9999928703473822
32,0.020507812499999997,3.3292096081068487e-08,5.024559086297398e-07,0.99999164387627
32,0.021484374999999997,3.499130232380679e-08,5.292518538979607e-07,0.9999665447155386
32,0.022460937499999997,3.668815031514734e-08,5.558680606920774e-07,0.9999999807512686
32,0.023437499999999997,3.838278097314832e-08,5.823184971442963e-07,1.0000000005844945
32,0.024414062499999997,4.007567501592203e-08,6.086213026890164e-07,0.9999999855697592
32,0.025390624999999997,4.176749969231694e-08,6.347960037622613e-07,0.9999665324784162
32,0.026367187499999997,4.345897759269569e-08,6.608610897407274e-07,0.9999916318189411
32,0.027343749999999997,4.5150785684555696e-08,6.868322435793495e-07,0.9999928762902434
32,0.028320312499999997,4.68434883561255e-08,7.127213109692221e-07,0.9999639246849972
32,0.029296874999999997,4.8537503445667224e-08,7.385359849787498e-07,0.9999999377375376
32,0.030273437499999997,5.0233096111085745e-08,7.64280030651765e-07,0.9999953148839069
32,0.031249999999999997,5.1930392953773705e-08,7.899538748690205e-07,1.000000001785731
32,0.03222656249999999,5.3629408129517016e-08,8.15555386002309e-07,0.9999953065765884
32,0.03320312499999999,5.5330073946175454e-08,8.419177890961471e-07,0.9999999378016978
32,0.03417968749999999,5.703227004218275e-08,8.684405045089605e-07,0.9999639179547307
32,0.03515624999999999,5.873584750422602e-08,8.949386775536361e-07,0.9999928692838298
32,0.03613281249999999,6.044064633373148e-08,9.214065372076252e-07,0.9999916650967817
32,0.03710937499999999,6.214650615376293e-08,9.478383464212037e-07,0.999966565871137
32,0.03808593749999999,6.385327136310393e-08,9.742285139169304e-07,0.9999999773233763
32,0.03906249999999999,6.556079255869138e-08,1.0005716149508181e-06,1.0000000018852682
32,0.04003906249999999,6.726892561737492e-08,1.0268623845122171e-06,0.9999999911510473
32,0.04101562499999999,6.897753026935006e-08,1.0530956879306608e-06,0.9999665232888859
32,0.04199218749999999,7.068646879526508e-08,1.0792665146586167e-06,0.9999916222882564
32,0.04296874999999999,7.239560549110751e-08,1.1053699663921002e-06,0.9999928922977893
32,0.04394531249999999,7.410480685218351e-08,1.1314012581253863e-06,0.9999639406424954
32,0.04492187499999999,7.581394240919006e-08,1.1573557402444479e-06,0.9999999405327011
32,0.04589843749999999,7.752288581276344e-08,1.1832289054658496e-06,0.999995315076631
32,0.04687499999999999,7.923151580098593e-08,1.2090164005496007e-06,1.000000002466631
32,0.04785156249999999,8.093971684741242e-08,1.2347140215807073e-06,0.9999953071618674
32,0.04882812499999999,8.264737930070103e-08,1.2603177159120627e-06,0.9999999418268408
32,0.04980468749999999,8.435439906281267e-08,1.28582356012652e-06,0.9999639166971005
32,0.05,8.469570778514126e-08,1.2909124776916414e-06,0.9999817546977559
