nx,ny,K_tri,h,Np,Nq_dense,total_dof,node_L2,node_Linf,dense_L2,dense_Linf,elapsed_sec,rate_node_L2,rate_node_Linf,rate_dense_L2,rate_dense_Linf
1,1,2,1.0,22,90,44,0.8505832548621145,3.9678916175536134,1.1360844649385264,5.031687932913554,0.0013252999997348525,nan,nan,nan,nan
2,2,8,0.5,22,90,176,0.23898827551812174,3.008455305184677,0.2752924218340972,2.441182887443996,0.007344699999521254,1.8315126103744743,0.3993496955621064,2.045033297947826,1.043462066181444
4,4,32,0.25,22,90,704,0.024710165550417985,0.32603920091602423,0.030134241780653267,0.2999421864795433,0.021501199998965603,3.2737632616118266,3.205905583038684,3.191489226258489,3.0248240275706615
8,8,128,0.125,22,90,2816,0.0018427722055431948,0.02687768610091057,0.002324413449493956,0.03607265384177749,0.06673319999936211,3.745155028084812,3.600564588513211,3.6964651524225336,3.0557069793820086
16,16,512,0.0625,22,90,11264,0.00011906519907541522,0.0019190573483029993,0.00015052210537835268,0.0025833944861917146,0.4045154999985243,3.952054040730761,3.807939211713034,3.9488194285105895,3.8035656992113838
32,32,2048,0.03125,22,90,45056,7.5038597861706355e-06,0.00012040518365097341,9.492197213948138e-06,0.00016408850643312434,1.0208332999991399,3.987975116501646,3.994428416010714,3.9870894887635053,3.9767218668060726
64,64,8192,0.015625,22,90,180224,4.6997150986688384e-07,7.503215811333064e-06,5.946098501660332e-07,1.0205395271078999e-05,2.147601200000281,3.9969876635713852,4.00424463935104,3.996726806991589,4.00707022250368
128,128,32768,0.0078125,22,90,720896,2.9388561034760156e-08,4.6862333924480026e-07,3.718471199249935e-08,6.366806468705022e-07,7.252614600000015,3.9992466753454523,4.001008341504709,3.9991618596214047,4.00261833968008
256,256,131072,0.00390625,22,90,2883584,1.8370237452536659e-09,2.9254672462286635e-08,2.3243933982507603e-09,3.97214128255996e-08,41.769702899999174,3.99981254152892,4.001689836924368,3.999783430707484,4.002581068213869
