mesh_level,tau_interior,tau_qb,time,L2_error,Linf_error,max_abs_q
2,0.0,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.02,0.0005213685576252139,0.002213837275011718,0.9975617263297801
2,0.0,0.0,0.04,0.0010153732199187904,0.004341283834650683,0.9981821903249869
2,0.0,0.0,0.06,0.0015565037072162251,0.008984077827129427,0.988313278583619
2,0.0,0.0,0.08,0.002237588673558167,0.016953198826705596,0.9986818699545591
2,0.0,0.0,0.1,0.0031384768534680318,0.0286480294385158,0.9962384935249448
