mesh_level,time,L2_error,Linf_error,max_abs_q
4,0.0,0.0,0.0,1.0
4,0.007812499999999999,7.245808197853864e-05,0.0003363587879966108,0.9996122897026544
4,0.015624999999999998,0.00013051211705116802,0.0006518727534723379,1.0000335042653117
4,0.023437499999999997,0.00017991821407911204,0.0009418113760370495,0.997865764387489
4,0.031249999999999997,0.00022343456154336248,0.0013136134195677052,0.9997730844504198
4,0.03906249999999999,0.0002638297623027969,0.0019265902478762253,0.9995763947477901
4,0.04687499999999999,0.0003034929976081257,0.002619772649176344,0.9980092503717024
4,0.05468749999999999,0.00034387913739457245,0.0033749847978800096,0.9998581736329633
4,0.06249999999999999,0.0003855285113153177,0.004175307189052013,0.9999926301365931
4,0.07031249999999999,0.0004284217847693857,0.005005693789069454,1.0000560475710274
4,0.07812499999999999,0.0004723138552229083,0.005853082018869027,0.9977569409231323
4,0.08593749999999999,0.0005169065021472445,0.006706145822957366,0.9994212659184817
4,0.09374999999999999,0.0005618943537889358,0.007554869677210974,0.9996764224469012
4,0.10156249999999999,0.0006069618829964218,0.008390099899784342,0.9977842501170063
4,0.10937499999999999,0.0006517807109197705,0.009203182362641171,1.0001234369587826
4,0.11718749999999999,0.0006960201310908941,0.009985741712926544,0.999631153099985
4,0.12499999999999999,0.0007393646677816521,0.01072960983084903,1.000067297364328
4,0.13281249999999997,0.0007815296031816655,0.011426877788182854,0.9979006125166066
4,0.14062499999999997,0.0008222697393103822,0.012070028094718577,1.0001205655863448
4,0.14843749999999997,0.000861381263635607,0.012652100761593177,0.9982265855002659
4,0.15624999999999997,0.0008986988589409043,0.013166853702271997,1.0000196305826041
4,0.16406249999999997,0.0009340904027120251,0.013608890560849574,1.0010182368576384
4,0.17187499999999997,0.0009674508887418048,0.013973742957940627,0.9994875942748341
4,0.17968749999999997,0.0009986964569212145,0.014257906238474671,0.9995287133239033
4,0.18749999999999997,0.0010277589726673864,0.014458836308807288,1.0000387409902844
4,0.19531249999999997,0.0010545814176010546,0.014574919540153108,1.0002369727317848
4,0.2,0.001069579313514001,0.014603516610247613,0.9984344573166296
8,0.0,0.0,0.0,1.0
8,0.0039062499999999996,2.3030669318068607e-06,1.3382834437187033e-05,0.9999235809468289
8,0.007812499999999999,4.153292014909643e-06,2.5496201499615456e-05,0.9999995606070136
8,0.011718749999999998,5.736608214257235e-06,3.611823222710031e-05,0.9994256266713252
8,0.015624999999999998,7.140836349204285e-06,4.695609688867841e-05,0.9998897136454707
8,0.019531249999999997,8.452651646863592e-06,6.819892372939007e-05,0.9998680113520886
8,0.023437499999999997,9.746751275354904e-06,9.18430354965305e-05,0.9994670918732984
8,0.027343749999999997,1.1069683218690717e-05,0.00011722897589838688,0.9999974172350771
8,0.031249999999999997,1.2440956611763845e-05,0.00014380025732924073,0.9999998707222899
8,0.03515624999999999,1.3863786868074792e-05,0.0001711199809243391,1.0000007913276145
8,0.03906249999999999,1.5334811197314893e-05,0.00019886547210312688,0.9994628819114723
8,0.04296874999999999,1.6848869245553102e-05,0.000226808426643077,0.9998654117232852
8,0.04687499999999999,1.840011548808148e-05,0.0002547886628200269,0.9998881392536215
8,0.05078124999999999,1.9981855908490367e-05,0.00028268823693500256,0.9994243096080602
8,0.05468749999999999,2.158653367454719e-05,0.00031041040346058146,1.0000011694107753
8,0.05859374999999999,2.3206164938053705e-05,0.00033786548271852457,0.9999239001882153
8,0.06249999999999999,2.4832976641265804e-05,0.000364963672920382,1.000001144842398
8,0.06640624999999999,2.6459951461634305e-05,0.0003916134801321691,0.9998908960279143
8,0.07031249999999999,2.8081142587801186e-05,0.00041772378827020784,1.000001875446457
8,0.07421874999999999,2.969176764270026e-05,0.00044320754513704763,0.999432426697504
8,0.07812499999999999,3.12881550404918e-05,0.00046798541064874133,0.9998942794001107
8,0.08203124999999999,3.286761447332125e-05,0.0004919882916644136,0.9999037693037451
8,0.08593749999999999,3.4428276446262166e-05,0.0005151582933954346,0.9995036331214878
8,0.08984374999999999,3.5968922040334944e-05,0.0005374481225964844,0.9999894310257267
8,0.09374999999999999,3.748881260224164e-05,0.0005588193155641186,1.000001874548241
8,0.09765624999999999,3.8987527001305176e-05,0.0005792398210716643,1.000006704942378
8,0.10156249999999999,4.046481527672599e-05,0.000598681470845186,0.9994602832991917
8,0.10546874999999999,4.192047751545621e-05,0.0006171177654693549,0.9998612487534937
8,0.10937499999999999,4.3354274286218594e-05,0.0006345222450532262,0.9999148915356535
8,0.11328124999999999,4.4765870676771765e-05,0.0006508675484320214,0.9994517338457167
8,0.11718749999999999,4.61548114445506e-05,0.0006661251257779055,1.0000119625542538
8,0.12109374999999999,4.752052126831878e-05,0.0006802654753909065,0.9999247996450199
8,0.12499999999999999,4.886232222103095e-05,0.000693258730220192,1.0000065193331615
8,0.12890624999999997,5.017946040541087e-05,0.0007050754169825035,0.9998920561109621
8,0.13281249999999997,5.147113483648031e-05,0.0007273168728270107,1.0000101936117893
8,0.13671874999999997,5.273652357098172e-05,0.0007520668380703865,0.9994287211306203
8,0.14062499999999997,5.39748042233365e-05,0.0007762293748785343,0.99989074951882
8,0.14453124999999997,5.5185167935708784e-05,0.0007997460628634823,0.9999593642108521
8,0.14843749999999997,5.636682731247395e-05,0.0008225599881417356,0.9995590348817026
8,0.15234374999999997,5.751901968393983e-05,0.0008446159177351031,0.9999811069236707
8,0.15624999999999997,5.8641007368747495e-05,0.0008658604447454588,1.0000051230029026
