nx,ny,K_tri,h,hmin,Np,total_dof,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,surface_inverse_mass_mode,interior_trace_mode,test_function_mode,physical_boundary_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,3.141592653589793,0.46874999999999994,False,1.0,0.031249999999999997,15,nan,nan,125.81373444140358,1542.4796019719201,1.0950571000003038,diagonal,exchange,sin2pi_xy,exact_qb,none,all,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,3.141592653589793,0.31249999999999994,False,1.0,0.015624999999999998,20,nan,nan,65.17247161457468,1254.5843558735908,0.01678910000009637,diagonal,exchange,sin2pi_xy,exact_qb,none,all,nan,nan
4,4,32,0.25,0.17677669529663687,22,704,3.141592653589793,0.19531249999999997,False,1.0,0.007812499999999999,25,nan,nan,48.817819437794356,1529.4987587508276,0.04180830000041169,diagonal,exchange,sin2pi_xy,exact_qb,none,all,nan,nan
8,8,128,0.125,0.08838834764831843,22,2816,3.141592653589793,0.12109374999999999,False,1.0,0.0039062499999999996,31,nan,nan,34.0901956642392,1731.5246363677497,0.09276569999929052,diagonal,exchange,sin2pi_xy,exact_qb,none,all,nan,nan
16,16,512,0.0625,0.044194173824159216,22,11264,3.141592653589793,0.07031249999999999,False,1.0,0.0019531249999999998,36,nan,nan,14.027229708905034,1005.550864977,0.29509760000019014,diagonal,exchange,sin2pi_xy,exact_qb,none,all,nan,nan
