nx,ny,K_tri,h,hmin,Np,total_dof,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,surface_inverse_mass_mode,interior_trace_mode,test_function_mode,physical_boundary_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,3.141592653589793,3.141592653589793,True,1.0,0.044194173824159216,72,0.6198425270779474,3.1300594494612515,0.6198425270779474,3.1300594494612515,0.40125979999993433,diagonal,exchange,sin2pi_x,exact_qb,rk_stage_exact_qb,all,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,3.141592653589793,3.141592653589793,True,1.0,0.022097086912079608,143,0.13705553741205795,0.857301982289515,0.13705553741205795,0.857301982289515,0.17563169999993988,diagonal,exchange,sin2pi_x,exact_qb,rk_stage_exact_qb,all,2.1771411227886146,1.8683146742608767
4,4,32,0.25,0.17677669529663687,22,704,3.141592653589793,3.141592653589793,True,1.0,0.011048543456039804,285,0.011446187233267945,0.0808054152343981,0.011446187233267945,0.0808054152343981,0.4792013999995106,diagonal,exchange,sin2pi_x,exact_qb,rk_stage_exact_qb,all,3.5818216016240347,3.4072795946632026
8,8,128,0.125,0.08838834764831843,22,2816,3.141592653589793,3.141592653589793,True,1.0,0.005524271728019902,569,0.0013658204476356397,0.00873816973584185,0.0013658204476356397,0.00873816973584185,1.244536600000174,diagonal,exchange,sin2pi_x,exact_qb,rk_stage_exact_qb,all,3.067027368544562,3.2090489444818426
16,16,512,0.0625,0.044194173824159216,22,11264,3.141592653589793,3.141592653589793,True,1.0,0.002762135864009951,1138,0.00017092473761656188,0.0010129163173104305,0.00017092473761656188,0.0010129163173104305,6.72016210000038,diagonal,exchange,sin2pi_x,exact_qb,rk_stage_exact_qb,all,2.9983347219204193,3.1088161399473693
