nx,ny,K_tri,h,hmin,Np,total_dof,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,tau,tau_interior,tau_qb,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,surface_inverse_mass_mode,interior_trace_mode,test_function_mode,physical_boundary_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,3.141592653589793,3.141592653589793,True,1.0,0.044194173824159216,72,0.0,0.0,0.0,0.5456751137952649,2.724956304132951,0.5456751137952649,2.724956304132951,0.9719683000002988,diagonal,exact_trace,sin2pi_x,exact_qb,none,all,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,3.141592653589793,3.141592653589793,True,1.0,0.022097086912079608,143,0.0,0.0,0.0,0.08702466526405793,0.660861281523897,0.08702466526405793,0.660861281523897,1.0056805000058375,diagonal,exact_trace,sin2pi_x,exact_qb,none,all,2.6485459844568764,2.043813716955951
4,4,32,0.25,0.17677669529663687,22,704,3.141592653589793,3.141592653589793,True,1.0,0.011048543456039804,285,0.0,0.0,0.0,0.002147377024581096,0.022275083814513597,0.002147377024581096,0.022275083814513597,1.75344070000574,diagonal,exact_trace,sin2pi_x,exact_qb,none,all,5.3407769407422645,4.890844708457722
8,8,128,0.125,0.08838834764831843,22,2816,3.141592653589793,3.141592653589793,True,1.0,0.005524271728019902,569,0.0,0.0,0.0,0.00011867141370004722,0.001865194030082451,0.00011867141370004722,0.001865194030082451,5.169140300000436,diagonal,exact_trace,sin2pi_x,exact_qb,none,all,4.177531157162916,3.5780332379062463
16,16,512,0.0625,0.044194173824159216,22,11264,3.141592653589793,3.141592653589793,True,1.0,0.002762135864009951,1138,0.0,0.0,0.0,1.0742573532751742e-05,0.00012815495047058256,1.0742573532751742e-05,0.00012815495047058256,26.001152199998614,diagonal,exact_trace,sin2pi_x,exact_qb,none,all,3.4655608940923837,3.8633646027894337
