nx,ny,K_tri,h,hmin,Np,total_dof,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,projection_enabled,projection_mode,projection_frequency,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,10.0,10.0,True,1.0,0.031249999999999997,320,3.3694074047216065e-05,0.00020403911474464742,3.3694074047216065e-05,0.00020403911474464742,0.14348359999712557,True,post,step,sinx_rk_stage,inflow,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,10.0,10.0,True,1.0,0.015624999999999998,640,1.7624514999595496e-06,1.0984338280041472e-05,1.7624514999595496e-06,1.0984338280041472e-05,0.2552503999977489,True,post,step,sinx_rk_stage,inflow,4.256839417053993,4.215325880038595
4,4,32,0.25,0.17677669529663687,22,704,10.0,10.0,True,1.0,0.007812499999999999,1280,9.685483798384988e-08,6.023789929365808e-07,9.685483798384988e-08,6.023789929365808e-07,0.6284767999968608,True,post,step,sinx_rk_stage,inflow,4.185615632506247,4.188632692065796
8,8,128,0.125,0.08838834764831843,22,2816,10.0,10.0,True,1.0,0.0039062499999999996,2560,5.130129700531055e-09,2.678595945049267e-08,5.130129700531055e-09,2.678595945049267e-08,2.083355599999777,True,post,step,sinx_rk_stage,inflow,4.238756908718695,4.4911225808463335
16,16,512,0.0625,0.044194173824159216,22,11264,10.0,10.0,True,1.0,0.0019531249999999998,5120,2.903502955709915e-10,1.1713098824195356e-09,2.903502955709915e-10,1.1713098824195356e-09,10.50946909999766,True,post,step,sinx_rk_stage,inflow,4.143128892886241,4.5152822614201815
32,32,2048,0.03125,0.022097086912079608,22,45056,10.0,10.0,True,1.0,0.0009765624999999999,10240,1.778524681279275e-11,5.7526206020952486e-11,1.778524681279275e-11,5.7526206020952486e-11,103.75602749999962,True,post,step,sinx_rk_stage,inflow,4.029041602185072,4.347759671877688
64,64,8192,0.015625,0.011048543456039804,22,180224,10.0,10.0,True,1.0,0.00048828124999999995,20480,1.1584188710078436e-12,3.269606807521086e-12,1.1584188710078436e-12,3.269606807521086e-12,1627.6800365999952,True,post,step,sinx_rk_stage,inflow,3.9404520805854144,4.137030267101599
