nx,ny,K_tri,h,hmin,Np,total_dof,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,projection_enabled,projection_mode,projection_frequency,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,2.0,2.0,True,1.0,0.031249999999999997,64,1.1603431525200827e-05,5.5276026567741e-05,1.1603431525200827e-05,5.5276026567741e-05,0.05765030000475235,True,post,step,sinx_rk_stage,inflow,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,2.0,2.0,True,1.0,0.015624999999999998,128,7.241317693257045e-07,4.810461149085121e-06,7.241317693257045e-07,4.810461149085121e-06,0.08459020000009332,True,post,step,sinx_rk_stage,inflow,4.002155465147458,3.522406805570294
4,4,32,0.25,0.17677669529663687,22,704,2.0,2.0,True,1.0,0.007812499999999999,256,3.789991574026004e-08,2.845941006190955e-07,3.789991574026004e-08,2.845941006190955e-07,0.16168540000217035,True,post,step,sinx_rk_stage,inflow,4.2559857004678046,4.0791975413431185
8,8,128,0.125,0.08838834764831843,22,2816,2.0,2.0,True,1.0,0.0039062499999999996,512,1.914182128875072e-09,1.4501079781403803e-08,1.914182128875072e-09,1.4501079781403803e-08,0.5169134000025224,True,post,step,sinx_rk_stage,inflow,4.30739463126156,4.294673520887959
16,16,512,0.0625,0.044194173824159216,22,11264,2.0,2.0,True,1.0,0.0019531249999999998,1024,1.0579763625351054e-10,6.669255148139541e-10,1.0579763625351054e-10,6.669255148139541e-10,3.012711400006083,True,post,step,sinx_rk_stage,inflow,4.1773488045835325,4.442490876316923
32,32,2048,0.03125,0.022097086912079608,22,45056,2.0,2.0,True,1.0,0.0009765624999999999,2048,6.322281588145401e-12,3.345590471326432e-11,6.322281588145401e-12,3.345590471326432e-11,32.87454799999978,True,post,step,sinx_rk_stage,inflow,4.064718291801763,4.31719288067813
