nx,ny,K_tri,h,hmin,Np,total_dof,diagonal,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,tau,tau_interior,tau_qb,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,surface_inverse_mass_mode,interior_trace_mode,test_function_mode,physical_boundary_mode,face_order_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
2,2,8,0.5,0.35355339059327373,22,176,anti,1.4,1.4,True,1.0,0.022097086912079608,64,0.0,0.0,0.0,0.0058466593288333596,0.0420046789062819,0.0058466593288333596,0.0420046789062819,0.31360960000165505,projected,exact_trace,sin2pi_y,exact_qb,triangle,rk_stage_exact_trace,all,nan,nan
4,4,32,0.25,0.17677669529663687,22,704,anti,1.4,1.4,True,1.0,0.011048543456039804,127,0.0,0.0,0.0,0.0001968266647800219,0.0015131458900203842,0.0001968266647800219,0.0015131458900203842,0.17569989999901736,projected,exact_trace,sin2pi_y,exact_qb,triangle,rk_stage_exact_trace,all,4.892614945448813,4.794927041945824
6,6,72,0.16666666666666666,0.1178511301977579,22,1584,anti,1.4,1.4,True,1.0,0.007365695637359869,191,0.0,0.0,0.0,2.582852615236733e-05,0.00019649456191306314,2.582852615236733e-05,0.00019649456191306314,0.3522658000001684,projected,exact_trace,sin2pi_y,exact_qb,triangle,rk_stage_exact_trace,all,5.008677394543576,5.03449331760405
8,8,128,0.125,0.08838834764831843,22,2816,anti,1.4,1.4,True,1.0,0.005524271728019902,254,0.0,0.0,0.0,6.085358551130418e-06,4.7723212470929255e-05,6.085358551130418e-06,4.7723212470929255e-05,0.6795277999990503,projected,exact_trace,sin2pi_y,exact_qb,triangle,rk_stage_exact_trace,all,5.02497039582208,4.919377943803366
16,16,512,0.0625,0.044194173824159216,22,11264,anti,1.4,1.4,True,1.0,0.002762135864009951,507,0.0,0.0,0.0,1.8714540914133669e-07,1.5491684213220225e-06,1.8714540914133669e-07,1.5491684213220225e-06,3.2639605999938794,projected,exact_trace,sin2pi_y,exact_qb,triangle,rk_stage_exact_trace,all,5.023110706389041,4.945125257204937
32,32,2048,0.03125,0.022097086912079608,22,45056,anti,1.4,1.4,True,1.0,0.0013810679320049755,1014,0.0,0.0,0.0,5.792186635187466e-09,4.9310784261402674e-08,5.792186635187466e-09,4.9310784261402674e-08,48.32831240000087,projected,exact_trace,sin2pi_y,exact_qb,triangle,rk_stage_exact_trace,all,5.013907758208305,4.9734469899509675
