nx,ny,K_tri,h,hmin,Np,total_dof,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,tau,tau_interior,tau_qb,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,surface_inverse_mass_mode,interior_trace_mode,test_function_mode,physical_boundary_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,3.141592653589793,3.141592653589793,True,1.0,0.044194173824159216,72,0.0,0.0,0.0,0.5456758782400092,2.725093696881197,0.5456758782400092,2.725093696881197,1.9026851000016904,diagonal,exact_trace,sin2pi_x,exact_qb,rk_stage_exact_trace,all,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,3.141592653589793,3.141592653589793,True,1.0,0.022097086912079608,143,0.0,0.0,0.0,0.08702173312912284,0.6608503988608333,0.08702173312912284,0.6608503988608333,1.4779019999987213,diagonal,exact_trace,sin2pi_x,exact_qb,rk_stage_exact_trace,all,2.648596615305945,2.043910213668343
4,4,32,0.25,0.17677669529663687,22,704,3.141592653589793,3.141592653589793,True,1.0,0.011048543456039804,285,0.0,0.0,0.0,0.0021474568409289886,0.022276653413586422,0.0021474568409289886,0.022276653413586422,4.18424490000325,diagonal,exact_trace,sin2pi_x,exact_qb,rk_stage_exact_trace,all,5.340674708120203,4.890719295862566
8,8,128,0.125,0.08838834764831843,22,2816,3.141592653589793,3.141592653589793,True,1.0,0.005524271728019902,569,0.0,0.0,0.0,0.00011868870422201835,0.0018656080741316083,0.00011868870422201835,0.0018656080741316083,12.124478500001715,diagonal,exact_trace,sin2pi_x,exact_qb,rk_stage_exact_trace,all,4.17737459349356,3.5778146725705176
16,16,512,0.0625,0.044194173824159216,22,11264,3.141592653589793,3.141592653589793,True,1.0,0.002762135864009951,1138,0.0,0.0,0.0,1.0745329078996927e-05,0.0001282296176712272,1.0745329078996927e-05,0.0001282296176712272,39.341835100000026,diagonal,exact_trace,sin2pi_x,exact_qb,rk_stage_exact_trace,all,3.465401066578238,3.8628445072862885
