nx,ny,K_tri,h,hmin,Np,total_dof,diagonal,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,tau,tau_interior,tau_qb,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,surface_inverse_mass_mode,interior_trace_mode,test_function_mode,physical_boundary_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,main,1.0,1.0,True,1.0,0.031249999999999997,32,0.0,0.0,0.0,1.211896949248926,2.0941913749785517,1.211896949248926,2.0941913749785517,0.04224489999978687,projected,exchange,sin2pi_xy,opposite_boundary,none,all,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,main,1.0,1.0,True,1.0,0.015624999999999998,64,0.0,0.0,0.0,0.13777247134624337,0.6590199166403545,0.13777247134624337,0.6590199166403545,0.07845869999982824,projected,exchange,sin2pi_xy,opposite_boundary,none,all,3.136907474379383,1.667999315553036
4,4,32,0.25,0.17677669529663687,22,704,main,1.0,1.0,True,1.0,0.007812499999999999,128,0.0,0.0,0.0,0.003031835842159399,0.022689993160751154,0.003031835842159399,0.022689993160751154,0.2427213999999367,projected,exchange,sin2pi_xy,opposite_boundary,none,all,5.505952196861431,4.860193987189639
8,8,128,0.125,0.08838834764831843,22,2816,main,1.0,1.0,True,1.0,0.0039062499999999996,256,0.0,0.0,0.0,0.00012299596953810102,0.0008569611656498166,0.00012299596953810102,0.0008569611656498166,0.5813601999998355,projected,exchange,sin2pi_xy,opposite_boundary,none,all,4.62350869563807,4.726682535777012
16,16,512,0.0625,0.044194173824159216,22,11264,main,1.0,1.0,True,1.0,0.0019531249999999998,512,0.0,0.0,0.0,6.115708073989223e-06,2.7688775604106652e-05,6.115708073989223e-06,2.7688775604106652e-05,2.2550497000001997,projected,exchange,sin2pi_xy,opposite_boundary,none,all,4.329947687338332,4.951856663803751
32,32,2048,0.03125,0.022097086912079608,22,45056,main,1.0,1.0,True,1.0,0.0009765624999999999,1024,0.0,0.0,0.0,3.6508887949553524e-07,1.3482799792186029e-06,3.6508887949553524e-07,1.3482799792186029e-06,31.454863299999488,projected,exchange,sin2pi_xy,opposite_boundary,none,all,4.06619991254991,4.360109241362338
64,64,8192,0.015625,0.011048543456039804,22,180224,main,1.0,1.0,True,1.0,0.00048828124999999995,2048,0.0,0.0,0.0,2.2975618265876996e-08,8.295568032501421e-08,2.2975618265876996e-08,8.295568032501421e-08,236.79513810000026,projected,exchange,sin2pi_xy,opposite_boundary,none,all,3.990072135787492,4.022635530559694
