nx,ny,K_tri,h,hmin,Np,total_dof,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,tau,tau_interior,tau_qb,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,surface_inverse_mass_mode,interior_trace_mode,test_function_mode,physical_boundary_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,3.141592653589793,3.141592653589793,True,1.0,0.031249999999999997,101,0.0,0.0,0.0,0.1887769512916214,0.6645976475794856,0.1887769512916214,0.6645976475794856,0.9077781000014511,diagonal,exchange,sin2pi_xy,exact_qb,rk_stage_exact_qb,all,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,3.141592653589793,3.141592653589793,True,1.0,0.015624999999999998,202,0.0,0.0,0.0,0.09916224087086012,0.35723417225979376,0.09916224087086012,0.35723417225979376,1.5540930000061053,diagonal,exchange,sin2pi_xy,exact_qb,rk_stage_exact_qb,all,0.928819850739052,0.8956110942584344
4,4,32,0.25,0.17677669529663687,22,704,3.141592653589793,3.141592653589793,True,1.0,0.007812499999999999,403,0.0,0.0,0.0,0.01337572022218992,0.08032971325832383,0.01337572022218992,0.08032971325832383,3.026532200005022,diagonal,exchange,sin2pi_xy,exact_qb,rk_stage_exact_qb,all,2.890174297627935,2.152864460343013
8,8,128,0.125,0.08838834764831843,22,2816,3.141592653589793,1.5859374999999998,False,1.0,0.0039062499999999996,406,0.0,0.0,0.0,nan,nan,53.58776638675665,1000.9757390276028,3.7107605999990483,diagonal,exchange,sin2pi_xy,exact_qb,rk_stage_exact_qb,all,nan,nan
16,16,512,0.0625,0.044194173824159216,22,11264,3.141592653589793,0.6874999999999999,False,1.0,0.0019531249999999998,352,0.0,0.0,0.0,nan,nan,56.200309089466295,1008.9721026965445,7.333491600002162,diagonal,exchange,sin2pi_xy,exact_qb,rk_stage_exact_qb,all,nan,nan
