nx,ny,K_tri,h,hmin,Np,total_dof,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,surface_inverse_mass_mode,interior_trace_mode,test_function_mode,physical_boundary_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,3.141592653589793,3.141592653589793,True,1.0,0.044194173824159216,72,103.6657811437242,463.5354786560835,103.6657811437242,463.5354786560835,0.3507824000007531,diagonal,exchange,sin2pi_x,opposite_boundary,none,inflow,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,3.141592653589793,3.141592653589793,True,1.0,0.022097086912079608,143,1.7977754526678795,10.878922634688521,1.7977754526678795,10.878922634688521,0.061738899999909336,diagonal,exchange,sin2pi_x,opposite_boundary,none,inflow,5.849583110485092,5.413072170577896
4,4,32,0.25,0.17677669529663687,22,704,3.141592653589793,1.823009670246573,False,1.0,0.011048543456039804,165,nan,nan,212.0517560869726,1066.7506899248413,0.10389290000239271,diagonal,exchange,sin2pi_x,opposite_boundary,none,inflow,nan,nan
8,8,128,0.125,0.08838834764831843,22,2816,3.141592653589793,0.8507378461150671,False,1.0,0.005524271728019902,154,nan,nan,191.3938074692763,1068.151769888182,0.19512270000268472,diagonal,exchange,sin2pi_x,opposite_boundary,none,inflow,nan,nan
16,16,512,0.0625,0.044194173824159216,22,11264,3.141592653589793,0.5248058141618925,False,1.0,0.002762135864009951,190,nan,nan,182.02709599522814,1097.624341430594,0.5927703999986988,diagonal,exchange,sin2pi_x,opposite_boundary,none,inflow,nan,nan
