nx,ny,K_tri,h,hmin,Np,total_dof,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,projection_enabled,projection_mode,projection_frequency,surface_inverse_mass_mode,test_function_mode,physical_boundary_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,1.0,1.0,True,1.0,0.031249999999999997,32,0.17401919408887262,0.9012941497437226,0.17401919408887262,0.9012941497437226,0.30005160000291653,False,post,step,diagonal,sin2pi_xy,exact_qb,sinx_rk_stage,inflow,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,1.0,1.0,True,1.0,0.015624999999999998,64,0.10795616284822826,0.4845383269805199,0.10795616284822826,0.4845383269805199,0.04984749999130145,False,post,step,diagonal,sin2pi_xy,exact_qb,sinx_rk_stage,inflow,0.6888008379827458,0.895387238932294
4,4,32,0.25,0.17677669529663687,22,704,1.0,1.0,True,1.0,0.007812499999999999,128,0.030482000160712616,0.2669486707962223,0.030482000160712616,0.2669486707962223,0.10784830001648515,False,post,step,diagonal,sin2pi_xy,exact_qb,sinx_rk_stage,inflow,1.8244161267649495,0.8600484218451143
8,8,128,0.125,0.08838834764831843,22,2816,1.0,1.0,True,1.0,0.0039062499999999996,256,1.2817170092155998,15.37862938989587,1.2817170092155998,15.37862938989587,0.3500130999891553,False,post,step,diagonal,sin2pi_xy,exact_qb,sinx_rk_stage,inflow,-5.393976381344765,-5.848220754085887
16,16,512,0.0625,0.044194173824159216,22,11264,1.0,0.6874999999999999,False,1.0,0.0019531249999999998,352,nan,nan,56.200309089466295,1008.9721026965445,1.5384983000112697,False,post,step,diagonal,sin2pi_xy,exact_qb,sinx_rk_stage,inflow,nan,nan
