nx,ny,K_tri,h,hmin,Np,total_dof,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,tau,tau_interior,tau_qb,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,surface_inverse_mass_mode,interior_trace_mode,test_function_mode,physical_boundary_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,3.141592653589793,3.141592653589793,True,0.05,0.0015624999999999999,2011,-1.0,-1.0,-1.0,5.24307034196187,14.31019348723476,5.24307034196187,14.31019348723476,5.488408700002765,diagonal,exchange,sin2pi_xy,opposite_boundary,none,all,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,3.141592653589793,3.141592653589793,True,0.05,0.0007812499999999999,4022,-1.0,-1.0,-1.0,1.984728919494715,8.642383658333326,1.984728919494715,8.642383658333326,8.002667199994903,diagonal,exchange,sin2pi_xy,opposite_boundary,none,all,1.4014699284298744,0.7275419962649317
4,4,32,0.25,0.17677669529663687,22,704,3.141592653589793,3.141592653589793,True,0.05,0.00039062499999999997,8043,-1.0,-1.0,-1.0,0.20107238557677007,0.8749710055163923,0.20107238557677007,0.8749710055163923,16.125589399998717,diagonal,exchange,sin2pi_xy,opposite_boundary,none,all,3.303155106226071,3.3041221620833894
8,8,128,0.125,0.08838834764831843,22,2816,3.141592653589793,3.141592653589793,True,0.05,0.00019531249999999998,16085,-1.0,-1.0,-1.0,0.033751672757805426,0.14089093176112943,0.033751672757805426,0.14089093176112943,98.09564649999811,diagonal,exchange,sin2pi_xy,opposite_boundary,none,all,2.5746840515894385,2.634656452534317
16,16,512,0.0625,0.044194173824159216,22,11264,3.141592653589793,3.141592653589793,True,0.05,9.765624999999999e-05,32170,-1.0,-1.0,-1.0,0.0027233587606189454,0.010482272571664786,0.0027233587606189454,0.010482272571664786,368.49512619999587,diagonal,exchange,sin2pi_xy,opposite_boundary,none,all,3.6315000520759844,3.748555323434642
