nx,ny,K_tri,h,hmin,Np,total_dof,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,tau,tau_interior,tau_qb,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,surface_inverse_mass_mode,interior_trace_mode,test_function_mode,physical_boundary_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,1.0,1.0,True,1.0,0.044194173824159216,23,0.0,0.0,0.0,0.5461560652852199,3.085825455454573,0.5461560652852199,3.085825455454573,0.38854239999636775,diagonal,exact_trace,sin2pi_x,exact_qb,none,all,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,1.0,1.0,True,1.0,0.022097086912079608,46,0.0,0.0,0.0,0.12000016490546933,0.6815985433527221,0.12000016490546933,0.6815985433527221,0.20934980000311043,diagonal,exact_trace,sin2pi_x,exact_qb,none,all,2.186276874906082,2.178662303099541
4,4,32,0.25,0.17677669529663687,22,704,1.0,1.0,True,1.0,0.011048543456039804,91,0.0,0.0,0.0,0.004277950654810314,0.037315594965811674,0.004277950654810314,0.037315594965811674,0.7431309000021429,diagonal,exact_trace,sin2pi_x,exact_qb,none,all,4.809972736737211,4.191071658397059
8,8,128,0.125,0.08838834764831843,22,2816,1.0,1.0,True,1.0,0.005524271728019902,182,0.0,0.0,0.0,0.00015861333578764565,0.001423712628582055,0.00015861333578764565,0.001423712628582055,1.9144802000009804,diagonal,exact_trace,sin2pi_x,exact_qb,none,all,4.753333862221062,4.712048811016741
16,16,512,0.0625,0.044194173824159216,22,11264,1.0,1.0,True,1.0,0.002762135864009951,363,0.0,0.0,0.0,5.250349208532187e-06,4.755087373779082e-05,5.250349208532187e-06,4.755087373779082e-05,8.797436699998798,diagonal,exact_trace,sin2pi_x,exact_qb,none,all,4.916956882117979,4.904042311950597
