nx,ny,K_tri,h,hmin,Np,total_dof,diagonal,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,tau,tau_interior,tau_qb,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,surface_inverse_mass_mode,interior_trace_mode,test_function_mode,physical_boundary_mode,face_order_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,anti,5.0,5.0,True,1.0,0.031249999999999997,160,0.0,0.0,0.0,0.15989874392853962,0.8534034908591708,0.15989874392853962,0.8534034908591708,1.3729043000057572,diagonal,exact_trace,sin2pi_xy,exact_qb,triangle,none,all,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,anti,5.0,5.0,True,1.0,0.015624999999999998,320,0.0,0.0,0.0,0.010214630245817228,0.0372595219230205,0.010214630245817228,0.0372595219230205,0.3890774000028614,diagonal,exact_trace,sin2pi_xy,exact_qb,triangle,none,all,3.9684497191421793,4.517546943626972
4,4,32,0.25,0.17677669529663687,22,704,anti,5.0,5.0,True,1.0,0.007812499999999999,640,0.0,0.0,0.0,0.00051196759957845,0.001937649496483007,0.00051196759957845,0.001937649496483007,0.918535900003917,diagonal,exact_trace,sin2pi_xy,exact_qb,triangle,none,all,4.318440660807124,4.265229634378944
8,8,128,0.125,0.08838834764831843,22,2816,anti,5.0,5.0,True,1.0,0.0039062499999999996,1280,0.0,0.0,0.0,2.4295869801949386e-05,7.164252992075681e-05,2.4295869801949386e-05,7.164252992075681e-05,3.476618900000176,diagonal,exact_trace,sin2pi_xy,exact_qb,triangle,none,all,4.3972695230456464,4.757347529182829
16,16,512,0.0625,0.044194173824159216,22,11264,anti,5.0,5.0,True,1.0,0.0019531249999999998,2560,0.0,0.0,0.0,1.0968868465349116e-06,5.5106895949785795e-06,1.0968868465349116e-06,5.5106895949785795e-06,17.39530979999836,diagonal,exact_trace,sin2pi_xy,exact_qb,triangle,none,all,4.469224470517887,3.700511513542535
