nx,ny,K_tri,h,hmin,Np,total_dof,diagonal,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,tau,tau_interior,tau_qb,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,surface_inverse_mass_mode,interior_trace_mode,test_function_mode,physical_boundary_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
2,2,8,0.5,0.35355339059327373,22,176,main,10.0,10.0,True,1.0,0.015624999999999998,640,0.0,0.0,0.0,1.1282479174490947,3.522263640566418,1.1282479174490947,3.522263640566418,0.8507159000000684,projected,exchange,sin2pi_xy,opposite_boundary,none,all,nan,nan
4,4,32,0.25,0.17677669529663687,22,704,main,10.0,10.0,True,1.0,0.007812499999999999,1280,0.0,0.0,0.0,0.007332953403258136,0.02110223286066326,0.007332953403258136,0.02110223286066326,2.226332899999761,projected,exchange,sin2pi_xy,opposite_boundary,none,all,7.265474028346599,7.382963427498721
8,8,128,0.125,0.08838834764831843,22,2816,main,10.0,10.0,True,1.0,0.0039062499999999996,2560,0.0,0.0,0.0,0.00018651790614939012,0.0006104206473446228,0.00018651790614939012,0.0006104206473446228,6.7380081999999675,projected,exchange,sin2pi_xy,opposite_boundary,none,all,5.297008327607475,5.111448088788693
16,16,512,0.0625,0.044194173824159216,22,11264,main,10.0,10.0,True,1.0,0.0019531249999999998,5120,0.0,0.0,0.0,5.420876422562259e-06,2.377560487987207e-05,5.420876422562259e-06,2.377560487987207e-05,29.847156200000427,projected,exchange,sin2pi_xy,opposite_boundary,none,all,5.104644210169911,4.682249811285745
32,32,2048,0.03125,0.022097086912079608,22,45056,main,10.0,10.0,True,1.0,0.0009765624999999999,10240,0.0,0.0,0.0,2.7925827787401817e-07,1.0130565842869643e-06,2.7925827787401817e-07,1.0130565842869643e-06,290.6601509000002,projected,exchange,sin2pi_xy,opposite_boundary,none,all,4.278854167448194,4.552695382192944
