nx,ny,K_tri,h,hmin,Np,total_dof,diagonal,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,tau,tau_interior,tau_qb,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,surface_inverse_mass_mode,interior_trace_mode,test_function_mode,physical_boundary_mode,face_order_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
2,2,8,0.5,0.35355339059327373,22,176,anti,1.4,1.4,True,1.0,0.022097086912079608,64,0.0,0.0,0.0,0.06232429256193543,0.7881682714311343,0.06232429256193543,0.7881682714311343,0.7540929000024335,diagonal,exact_trace,sin2pi_y,exact_qb,triangle,rk_stage_exact_trace,all,nan,nan
4,4,32,0.25,0.17677669529663687,22,704,anti,1.4,1.4,True,1.0,0.011048543456039804,127,0.0,0.0,0.0,0.0057403664108945365,0.06956700247731151,0.0057403664108945365,0.06956700247731151,0.16188120000151685,diagonal,exact_trace,sin2pi_y,exact_qb,triangle,rk_stage_exact_trace,all,3.4405798688853775,3.502028609485861
6,6,72,0.16666666666666666,0.1178511301977579,22,1584,anti,1.4,1.4,True,1.0,0.007365695637359869,191,0.0,0.0,0.0,0.0013334608257799035,0.013450007734403635,0.0013334608257799035,0.013450007734403635,0.3099537000016426,diagonal,exact_trace,sin2pi_y,exact_qb,triangle,rk_stage_exact_trace,all,3.6001750250230273,4.052902798842529
8,8,128,0.125,0.08838834764831843,22,2816,anti,1.4,1.4,True,1.0,0.005524271728019902,254,0.0,0.0,0.0,0.0004548013744233243,0.004860999675884603,0.0004548013744233243,0.004860999675884603,0.5772610999993049,diagonal,exact_trace,sin2pi_y,exact_qb,triangle,rk_stage_exact_trace,all,3.739100504662551,3.5377093923022986
16,16,512,0.0625,0.044194173824159216,22,11264,anti,1.4,1.4,True,1.0,0.002762135864009951,507,0.0,0.0,0.0,3.127572362397681e-05,0.0003091112721396172,3.127572362397681e-05,0.0003091112721396172,3.093644400003541,diagonal,exact_trace,sin2pi_y,exact_qb,triangle,rk_stage_exact_trace,all,3.862121444691746,3.975054867936396
32,32,2048,0.03125,0.022097086912079608,22,45056,anti,1.4,1.4,True,1.0,0.0013810679320049755,1014,0.0,0.0,0.0,2.0276375068034876e-06,1.9863837945832685e-05,2.0276375068034876e-06,1.9863837945832685e-05,50.12681220000377,diagonal,exact_trace,sin2pi_y,exact_qb,triangle,rk_stage_exact_trace,all,3.947171603237061,3.9599099629629313
