nx,ny,K_tri,h,hmin,Np,total_dof,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,projection_enabled,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,10.0,10.0,True,1.0,0.031249999999999997,320,2.352050796027032e-05,8.752769988673581e-05,2.352050796027032e-05,8.752769988673581e-05,0.17005900000367546,True,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,10.0,10.0,True,1.0,0.015624999999999998,640,7.909708879915156e-07,5.2428979781943275e-06,7.909708879915156e-07,5.2428979781943275e-06,0.34381310000026133,True,4.894150810734071,4.061303281064408
4,4,32,0.25,0.17677669529663687,22,704,10.0,10.0,True,1.0,0.007812499999999999,1280,2.657835230311773e-08,1.788257073531696e-07,2.657835230311773e-08,1.788257073531696e-07,0.9023864999981015,True,4.895301022548066,4.873738419359829
8,8,128,0.125,0.08838834764831843,22,2816,10.0,10.0,True,1.0,0.0039062499999999996,2560,1.0582310432250218e-09,1.4448399476840734e-08,1.0582310432250218e-09,1.4448399476840734e-08,2.9926928999993834,True,4.650525118956833,3.629572556206207
16,16,512,0.0625,0.044194173824159216,22,11264,10.0,10.0,True,1.0,0.0019531249999999998,5120,1.072558805825175e-10,3.3318313663599497e-09,1.072558805825175e-10,3.3318313663599497e-09,18.046144200001436,True,3.3025259904487863,2.1165223981760333
32,32,2048,0.03125,0.022097086912079608,22,45056,10.0,10.0,True,1.0,0.0009765624999999999,10240,1.815107632920679e-11,8.284254393586821e-10,1.815107632920679e-11,8.284254393586821e-10,346.8358416999981,True,2.5629297440680103,2.007871621821731
