nx,ny,K_tri,h,hmin,Np,total_dof,diagonal,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,tau,tau_interior,tau_qb,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,surface_inverse_mass_mode,interior_trace_mode,test_function_mode,physical_boundary_mode,face_order_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
2,2,8,0.5,0.35355339059327373,22,176,anti,5.0,5.0,True,1.0,0.015624999999999998,320,0.0,0.0,0.0,0.0030193593617467134,0.022911602243728013,0.0030193593617467134,0.022911602243728013,0.5947129000051063,projected,exact_trace,sin2pi_xy,exact_qb,triangle,none,all,nan,nan
4,4,32,0.25,0.17677669529663687,22,704,anti,5.0,5.0,True,1.0,0.007812499999999999,640,0.0,0.0,0.0,0.00018370757644178268,0.0014702082247816106,0.00018370757644178268,0.0014702082247816106,0.7827988999997615,projected,exact_trace,sin2pi_xy,exact_qb,triangle,none,all,4.038759443272606,3.961985949313052
6,6,72,0.16666666666666666,0.1178511301977579,22,1584,anti,5.0,5.0,True,1.0,0.005208333333333332,961,0.0,0.0,0.0,2.496868288859584e-05,0.00021859772065779826,2.496868288859584e-05,0.00021859772065779826,1.366407800000161,projected,exact_trace,sin2pi_xy,exact_qb,triangle,none,all,4.922058248351585,4.700592313497495
8,8,128,0.125,0.08838834764831843,22,2816,anti,5.0,5.0,True,1.0,0.0039062499999999996,1280,0.0,0.0,0.0,6.146978972603646e-06,5.472547449902887e-05,6.146978972603646e-06,5.472547449902887e-05,2.317142200001399,projected,exact_trace,sin2pi_xy,exact_qb,triangle,none,all,4.872259178473537,4.814008126768998
16,16,512,0.0625,0.044194173824159216,22,11264,anti,5.0,5.0,True,1.0,0.0019531249999999998,2560,0.0,0.0,0.0,3.493482471673626e-07,2.0860834376579263e-06,3.493482471673626e-07,2.0860834376579263e-06,12.336665100003302,projected,exact_trace,sin2pi_xy,exact_qb,triangle,none,all,4.137139743181979,4.713343790397221
32,32,2048,0.03125,0.022097086912079608,22,45056,anti,5.0,5.0,True,1.0,0.0009765624999999999,5120,0.0,0.0,0.0,7.000664168727395e-08,4.1821792495788657e-07,7.000664168727395e-08,4.1821792495788657e-07,227.88755120000133,projected,exact_trace,sin2pi_xy,exact_qb,triangle,none,all,2.3191021962764298,2.3184700601359673
