nx,ny,K_tri,h,hmin,Np,total_dof,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,projection_enabled,projection_mode,projection_frequency,surface_inverse_mass_mode,interior_trace_mode,test_function_mode,physical_boundary_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,6.283185307179586,6.283185307179586,True,1.0,0.031249999999999997,202,0.16622566690212756,0.3888160599338305,0.16622566690212756,0.3888160599338305,1.9756526999990456,False,post,step,diagonal,exact_trace,sin2pi_xy,exact_qb,none,inflow,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,6.283185307179586,6.283185307179586,True,1.0,0.015624999999999998,403,0.023699459109535415,0.2500177347502923,0.023699459109535415,0.2500177347502923,0.8670231000287458,False,post,step,diagonal,exact_trace,sin2pi_xy,exact_qb,none,inflow,2.810217127700653,0.6370573756691755
4,4,32,0.25,0.17677669529663687,22,704,6.283185307179586,6.283185307179586,True,1.0,0.007812499999999999,805,0.0011901978235300465,0.013930857348726233,0.0011901978235300465,0.013930857348726233,2.282065999985207,False,post,step,diagonal,exact_trace,sin2pi_xy,exact_qb,none,inflow,4.31558084318219,4.16567448083343
8,8,128,0.125,0.08838834764831843,22,2816,6.283185307179586,6.283185307179586,True,1.0,0.0039062499999999996,1609,7.53024822272039e-05,0.0010704581525550205,7.53024822272039e-05,0.0010704581525550205,8.596359999966808,False,post,step,diagonal,exact_trace,sin2pi_xy,exact_qb,none,inflow,3.9823601526488726,3.7019837460282976
16,16,512,0.0625,0.044194173824159216,22,11264,6.283185307179586,6.283185307179586,True,1.0,0.0019531249999999998,3217,4.77823332356803e-06,6.757176562866007e-05,4.77823332356803e-06,6.757176562866007e-05,37.039914099965245,False,post,step,diagonal,exact_trace,sin2pi_xy,exact_qb,none,inflow,3.978148213679886,3.985664034517337
