nx,ny,K_tri,h,hmin,Np,total_dof,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,tau,tau_interior,tau_qb,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,surface_inverse_mass_mode,interior_trace_mode,test_function_mode,physical_boundary_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,9.42477796076938,9.42477796076938,True,1.0,0.031249999999999997,302,0.0,0.0,0.0,0.8850456297883907,1.5720155903966448,0.8850456297883907,1.5720155903966448,0.3498283999997511,projected,exchange,sin2pi_xy,opposite_boundary,none,all,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,9.42477796076938,9.42477796076938,True,1.0,0.015624999999999998,604,0.0,0.0,0.0,0.020153413539524913,0.03780223020979667,0.020153413539524913,0.03780223020979667,0.6093599999999242,projected,exchange,sin2pi_xy,opposite_boundary,none,all,5.4566557123311465,5.3780003639911484
4,4,32,0.25,0.17677669529663687,22,704,9.42477796076938,9.42477796076938,True,1.0,0.007812499999999999,1207,0.0,0.0,0.0,0.00021361096681791027,0.001877323666426567,0.00021361096681791027,0.001877323666426567,1.4161755999998604,projected,exchange,sin2pi_xy,opposite_boundary,none,all,6.559894692543525,4.33172204180357
8,8,128,0.125,0.08838834764831843,22,2816,9.42477796076938,9.42477796076938,True,1.0,0.0039062499999999996,2413,0.0,0.0,0.0,6.5724242431200406e-06,6.195255771412889e-05,6.5724242431200406e-06,6.195255771412889e-05,4.504153099999712,projected,exchange,sin2pi_xy,opposite_boundary,none,all,5.022416299121844,4.921369748850248
16,16,512,0.0625,0.044194173824159216,22,11264,9.42477796076938,9.42477796076938,True,1.0,0.0019531249999999998,4826,0.0,0.0,0.0,2.1133596659749518e-07,2.1108201780639657e-06,2.1133596659749518e-07,2.1108201780639657e-06,20.28988049999998,projected,exchange,sin2pi_xy,opposite_boundary,none,all,4.958815386780297,4.875288260279291
