nx,ny,K_tri,h,hmin,Np,total_dof,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,surface_inverse_mass_mode,interior_trace_mode,test_function_mode,physical_boundary_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,3.141592653589793,3.141592653589793,True,1.0,0.031249999999999997,101,0.18129521190062864,0.6645976475794854,0.18129521190062864,0.6645976475794854,0.5904871999991883,diagonal,exact_trace,sin2pi_xy,exact_qb,rk_stage_exact_trace,inflow,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,3.141592653589793,3.141592653589793,True,1.0,0.015624999999999998,202,0.014191513069987335,0.10224117238186392,0.014191513069987335,0.10224117238186392,0.2538445000009233,diagonal,exact_trace,sin2pi_xy,exact_qb,rk_stage_exact_trace,inflow,3.6752405033756834,2.7005049018251923
4,4,32,0.25,0.17677669529663687,22,704,3.141592653589793,3.141592653589793,True,1.0,0.007812499999999999,403,0.0008559478403281117,0.012192158469759073,0.0008559478403281117,0.012192158469759073,0.7778780000007828,diagonal,exact_trace,sin2pi_xy,exact_qb,rk_stage_exact_trace,inflow,4.051361720071524,3.0679508197621836
8,8,128,0.125,0.08838834764831843,22,2816,3.141592653589793,3.141592653589793,True,1.0,0.0039062499999999996,805,5.4345337282217416e-05,0.0007818764822701274,5.4345337282217416e-05,0.0007818764822701274,1.999996700000338,diagonal,exact_trace,sin2pi_xy,exact_qb,rk_stage_exact_trace,inflow,3.977294719067544,3.9628690352056966
16,16,512,0.0625,0.044194173824159216,22,11264,3.141592653589793,3.141592653589793,True,1.0,0.0019531249999999998,1609,3.5157900898464458e-06,5.260393006178976e-05,3.5157900898464458e-06,5.260393006178976e-05,12.542574300001434,diagonal,exact_trace,sin2pi_xy,exact_qb,rk_stage_exact_trace,inflow,3.950235418208921,3.8936982213100575
32,32,2048,0.03125,0.022097086912079608,22,45056,3.141592653589793,3.141592653589793,True,1.0,0.0009765624999999999,3217,2.2867800130711187e-07,3.3469534889141173e-06,2.2867800130711187e-07,3.3469534889141173e-06,141.77992989999984,diagonal,exact_trace,sin2pi_xy,exact_qb,rk_stage_exact_trace,inflow,3.9424594458837645,3.9742501800972487
