nx,ny,K_tri,h,hmin,Np,total_dof,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,surface_inverse_mass_mode,interior_trace_mode,test_function_mode,physical_boundary_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,6.283185307179586,6.283185307179586,True,1.0,0.044194173824159216,143,0.6100356427163833,3.5749438716013073,0.6100356427163833,3.5749438716013073,0.458593600000313,diagonal,exchange,sin2pi_x,exact_qb,rk_stage,inflow,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,6.283185307179586,6.283185307179586,True,1.0,0.022097086912079608,285,0.13366681177376863,0.9053673046227051,0.13366681177376863,0.9053673046227051,0.22442990000126883,diagonal,exchange,sin2pi_x,exact_qb,rk_stage,inflow,2.190252235736375,1.9813454782028201
4,4,32,0.25,0.17677669529663687,22,704,6.283185307179586,6.283185307179586,True,1.0,0.011048543456039804,569,0.01069311255066049,0.0798335433217198,0.01069311255066049,0.0798335433217198,0.5360018999999738,diagonal,exchange,sin2pi_x,exact_qb,rk_stage,inflow,3.64388754323203,3.503436257716818
8,8,128,0.125,0.08838834764831843,22,2816,6.283185307179586,6.283185307179586,True,1.0,0.005524271728019902,1138,0.0011757833916030142,0.007881144053767164,0.0011757833916030142,0.007881144053767164,1.6187100999995891,diagonal,exchange,sin2pi_x,exact_qb,rk_stage,inflow,3.184987644150114,3.3405180683615123
16,16,512,0.0625,0.044194173824159216,22,11264,6.283185307179586,6.283185307179586,True,1.0,0.002762135864009951,2275,0.00014467321380523684,0.0008513966978672682,0.00014467321380523684,0.0008513966978672682,8.45401210000091,diagonal,exchange,sin2pi_x,exact_qb,rk_stage,inflow,3.022752567298267,3.210501671653086
