nx,ny,K_tri,h,hmin,Np,total_dof,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,surface_inverse_mass_mode,interior_trace_mode,test_function_mode,physical_boundary_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,6.283185307179586,6.283185307179586,True,1.0,0.031249999999999997,202,0.18652875514898004,0.49152363543297545,0.18652875514898004,0.49152363543297545,19.514008500031196,diagonal,exchange,sin2pi_xy,exact_qb,rk_stage,inflow,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,6.283185307179586,6.283185307179586,True,1.0,0.015624999999999998,403,0.10692854499131936,0.3915558685627889,0.10692854499131936,0.3915558685627889,13.353624799987301,diagonal,exchange,sin2pi_xy,exact_qb,rk_stage,inflow,0.8027510150032813,0.3280426207632026
4,4,32,0.25,0.17677669529663687,22,704,6.283185307179586,6.283185307179586,True,1.0,0.007812499999999999,805,0.016773961749538477,0.14032786601488595,0.016773961749538477,0.14032786601488595,30.86144950002199,diagonal,exchange,sin2pi_xy,exact_qb,rk_stage,inflow,2.6723516610836757,1.4804166462068107
8,8,128,0.125,0.08838834764831843,22,2816,6.283185307179586,1.5859374999999998,False,1.0,0.0039062499999999996,406,nan,nan,53.58776638675665,1000.9757390276028,24.686916399979964,diagonal,exchange,sin2pi_xy,exact_qb,rk_stage,inflow,nan,nan
16,16,512,0.0625,0.044194173824159216,22,11264,6.283185307179586,0.6874999999999999,False,1.0,0.0019531249999999998,352,nan,nan,56.200309089466295,1008.9721026965445,25.92323990003206,diagonal,exchange,sin2pi_xy,exact_qb,rk_stage,inflow,nan,nan
