nx,ny,K_tri,h,hmin,Np,total_dof,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,tau,tau_interior,tau_qb,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,surface_inverse_mass_mode,interior_trace_mode,test_function_mode,physical_boundary_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,3.141592653589793,3.141592653589793,True,1.0,0.031249999999999997,101,0.0,0.0,0.0,0.18129521190062836,0.6645976475794856,0.18129521190062836,0.6645976475794856,4.290534100000514,diagonal,exact_trace,sin2pi_xy,exact_qb,rk_stage_exact_trace,all,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,3.141592653589793,3.141592653589793,True,1.0,0.015624999999999998,202,0.0,0.0,0.0,0.014191513069987371,0.10224117238186503,0.014191513069987371,0.10224117238186503,0.5400290999969002,diagonal,exact_trace,sin2pi_xy,exact_qb,rk_stage_exact_trace,all,3.6752405033756768,2.700504901825177
4,4,32,0.25,0.17677669529663687,22,704,3.141592653589793,3.141592653589793,True,1.0,0.007812499999999999,403,0.0,0.0,0.0,0.0008559478403283718,0.012192158469770176,0.0008559478403283718,0.012192158469770176,1.0779480000055628,diagonal,exact_trace,sin2pi_xy,exact_qb,rk_stage_exact_trace,all,4.051361720071089,3.0679508197608856
8,8,128,0.125,0.08838834764831843,22,2816,3.141592653589793,3.141592653589793,True,1.0,0.0039062499999999996,805,0.0,0.0,0.0,5.434533728220792e-05,0.0007818764822653534,5.434533728220792e-05,0.0007818764822653534,2.5130146000010427,diagonal,exact_trace,sin2pi_xy,exact_qb,rk_stage_exact_trace,all,3.9772947190682335,3.9628690352158187
16,16,512,0.0625,0.044194173824159216,22,11264,3.141592653589793,3.141592653589793,True,1.0,0.0019531249999999998,1609,0.0,0.0,0.0,3.5157900898334523e-06,5.260393006267794e-05,3.5157900898334523e-06,5.260393006267794e-05,16.982902800002194,diagonal,exact_trace,sin2pi_xy,exact_qb,rk_stage_exact_trace,all,3.950235418214001,3.89369822127689
