tf,reached_tf_all,num_mesh_levels,finest_n,L2_error_finest,Linf_error_finest,p_L2_last,p_L2_avg,p_Linf_last,p_Linf_avg,total_elapsed_sec,rate_status
1.0,True,5,16,1.6477429451661414e-06,7.208603524766488e-06,3.9939798320536166,4.106821035222092,4.205742491187563,4.109907259262922,24.712361199999577,ok
2.0,True,5,16,1.657357509938569e-06,7.009222386278324e-06,4.038120531682702,4.28623946221892,4.156071639974802,4.210775542910428,69.32103829999687,ok
3.0,True,5,16,5.953105300917055e-07,3.0866151592423563e-06,4.956683968203066,4.781266902848056,5.020193279300962,4.623185520829594,98.0943619000027,ok
4.0,True,5,16,1.6141562997814954e-06,8.14488012024217e-06,4.2473472842648885,4.514212359740979,4.403022716729946,4.359266492679032,127.73520519999147,ok
5.0,True,5,16,1.7445448019809035e-06,8.554699463036997e-06,4.337889666707202,4.559145244657199,4.3795493606901195,4.409638640933761,168.87209770000482,ok
6.0,True,5,16,1.1338708500196243e-06,5.4551302052230355e-06,4.941752288988501,4.774581629291638,4.9270496917303825,4.627966605171967,228.13304539998353,ok
