nx,ny,K_tri,h,hmin,Np,total_dof,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,tau,tau_interior,tau_qb,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,surface_inverse_mass_mode,interior_trace_mode,test_function_mode,physical_boundary_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,9.42477796076938,9.42477796076938,True,1.0,0.031249999999999997,302,0.0,0.0,0.0,10.745394173768188,14.978850593800964,10.745394173768188,14.978850593800964,0.2723211000002266,projected,exchange,sin2pi_xy,opposite_boundary,none,all,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,9.42477796076938,9.42477796076938,True,1.0,0.015624999999999998,604,0.0,0.0,0.0,1.0703549699202737,3.4533479110959737,1.0703549699202737,3.4533479110959737,0.5402564000000893,projected,exchange,sin2pi_xy,opposite_boundary,none,all,3.327557173212992,2.116859330019866
4,4,32,0.25,0.17677669529663687,22,704,9.42477796076938,9.42477796076938,True,1.0,0.007812499999999999,1207,0.0,0.0,0.0,0.00714238691849149,0.02515056029054963,0.00714238691849149,0.02515056029054963,1.6331899000001613,projected,exchange,sin2pi_xy,opposite_boundary,none,all,7.227467322578277,7.101261337120518
8,8,128,0.125,0.08838834764831843,22,2816,9.42477796076938,9.42477796076938,True,1.0,0.0039062499999999996,2413,0.0,0.0,0.0,0.00020496491399756906,0.0007273479545398809,0.00020496491399756906,0.0007273479545398809,4.67547390000027,projected,exchange,sin2pi_xy,opposite_boundary,none,all,5.122957415262406,5.111801032451745
16,16,512,0.0625,0.044194173824159216,22,11264,9.42477796076938,9.42477796076938,True,1.0,0.0019531249999999998,4826,0.0,0.0,0.0,6.844083851392657e-06,2.7026155001386165e-05,6.844083851392657e-06,2.7026155001386165e-05,20.697092099999736,projected,exchange,sin2pi_xy,opposite_boundary,none,all,4.904375723994412,4.750217517263955
