nx,ny,K_tri,h,hmin,Np,total_dof,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,projection_enabled,projection_mode,projection_frequency,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,1.0,1.0,True,1.0,0.031249999999999997,32,3.2949695364836274e-05,0.00019726078978832273,3.2949695364836274e-05,0.00019726078978832273,0.3291511999996146,True,post,step,none,inflow,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,1.0,1.0,True,1.0,0.015624999999999998,64,1.7584715054884378e-06,1.1354952361986026e-05,1.7584715054884378e-06,1.1354952361986026e-05,0.016780400001152884,True,post,step,none,inflow,4.227871264273985,4.118710656501737
4,4,32,0.25,0.17677669529663687,22,704,1.0,1.0,True,1.0,0.007812499999999999,128,1.0108474132099237e-07,6.270959817256117e-07,1.0108474132099237e-07,6.270959817256117e-07,0.04295839999394957,True,post,step,none,inflow,4.120684812659168,4.178491568036274
8,8,128,0.125,0.08838834764831843,22,2816,1.0,1.0,True,1.0,0.0039062499999999996,256,7.162039338350537e-09,3.32444961559375e-08,7.162039338350537e-09,3.32444961559375e-08,0.15745649999735178,True,post,step,none,inflow,3.8190509866749576,4.237498857300255
16,16,512,0.0625,0.044194173824159216,22,11264,1.0,1.0,True,1.0,0.0019531249999999998,512,1.0272459794286581e-09,7.400993262685063e-09,1.0272459794286581e-09,7.400993262685063e-09,0.8234601999938604,True,post,step,none,inflow,2.801588758948099,2.1673247046206185
32,32,2048,0.03125,0.022097086912079608,22,45056,1.0,1.0,True,1.0,0.0009765624999999999,1024,2.264496995759993e-10,1.832178297966891e-09,2.264496995759993e-10,1.832178297966891e-09,5.557133700000122,True,post,step,none,inflow,2.1815191533838836,2.014158997268328
