tf_scan,nx,ny,K_tri,h,hmin,Np,total_dof,diagonal,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,tau,tau_interior,tau_qb,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,surface_inverse_mass_mode,interior_trace_mode,test_function_mode,physical_boundary_mode,face_order_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
3.0,1,1,2,1.0,0.7071067811865475,22,44,anti,3.0,3.0,True,0.05,0.002209708691207961,1358,0.0,0.0,0.0,0.34037886416792124,1.1385511700859388,0.34037886416792124,1.1385511700859388,0.9521826999989571,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,nan,nan
3.0,2,2,8,0.5,0.35355339059327373,22,176,anti,3.0,3.0,True,0.05,0.0011048543456039805,2716,0.0,0.0,0.0,0.013300416224187761,0.07476956603052862,0.013300416224187761,0.07476956603052862,2.171073699995759,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,4.677598156280425,3.928604162447041
3.0,4,4,32,0.25,0.17677669529663687,22,704,anti,3.0,3.0,True,0.05,0.0005524271728019902,5431,0.0,0.0,0.0,0.0005425948459750747,0.002876733418089139,0.0005425948459750747,0.002876733418089139,5.569166800007224,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,4.615452240263908,4.6999477192019965
3.0,8,8,128,0.125,0.08838834764831843,22,2816,anti,3.0,3.0,True,0.05,0.0002762135864009951,10862,0.0,0.0,0.0,1.8486475436072587e-05,0.00010016390459754998,1.8486475436072587e-05,0.00010016390459754998,18.958673499990255,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,4.875333246644827,4.843996922368376
3.0,16,16,512,0.0625,0.044194173824159216,22,11264,anti,3.0,3.0,True,0.05,0.00013810679320049756,21723,0.0,0.0,0.0,5.953105300917055e-07,3.0866151592423563e-06,5.953105300917055e-07,3.0866151592423563e-06,70.4432652000105,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,4.956683968203066,5.020193279300962
4.0,1,1,2,1.0,0.7071067811865475,22,44,anti,4.0,4.0,True,0.05,0.002209708691207961,1811,0.0,0.0,0.0,0.4401481631243415,1.4453219226878202,0.4401481631243415,1.4453219226878202,0.9615626000013435,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,nan,nan
4.0,2,2,8,0.5,0.35355339059327373,22,176,anti,4.0,4.0,True,0.05,0.0011048543456039805,3621,0.0,0.0,0.0,0.016163757297441957,0.08404606154046591,0.016163757297441957,0.08404606154046591,2.321135599995614,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,4.767154747476192,4.104066840576564
4.0,4,4,32,0.25,0.17677669529663687,22,704,anti,4.0,4.0,True,0.05,0.0005524271728019902,7241,0.0,0.0,0.0,0.0007225136347640095,0.003654415325606175,0.0007225136347640095,0.003654415325606175,5.80674819998967,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,4.483593970785249,4.523467704104839
4.0,8,8,128,0.125,0.08838834764831843,22,2816,anti,4.0,4.0,True,0.05,0.0002762135864009951,14482,0.0,0.0,0.0,3.0656637600268135e-05,0.00017231639723624959,3.0656637600268135e-05,0.00017231639723624959,16.676980000003823,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,4.558753436437589,4.406508709304779
4.0,16,16,512,0.0625,0.044194173824159216,22,11264,anti,4.0,4.0,True,0.05,0.00013810679320049756,28964,0.0,0.0,0.0,1.6141562997814954e-06,8.14488012024217e-06,1.6141562997814954e-06,8.14488012024217e-06,101.96877880000102,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,4.2473472842648885,4.403022716729946
