nx,ny,K_tri,h,hmin,Np,total_dof,diagonal,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,tau,tau_interior,tau_qb,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,surface_inverse_mass_mode,interior_trace_mode,test_function_mode,physical_boundary_mode,face_order_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
2,2,8,0.5,0.35355339059327373,22,176,anti,5.0,5.0,True,1.0,0.015624999999999998,320,0.0,0.0,0.0,0.010629168165793398,0.021234989182510877,0.010629168165793398,0.021234989182510877,0.52221859999554,projected,exchange,sin2pi_xy,opposite_boundary,triangle,none,all,nan,nan
4,4,32,0.25,0.17677669529663687,22,704,anti,5.0,5.0,True,1.0,0.007812499999999999,640,0.0,0.0,0.0,0.00021667085060419317,0.0017221167907121027,0.00021667085060419317,0.0017221167907121027,0.4091504000025452,projected,exchange,sin2pi_xy,opposite_boundary,triangle,none,all,5.616379810071554,3.624188481729075
6,6,72,0.16666666666666666,0.1178511301977579,22,1584,anti,5.0,5.0,True,1.0,0.005208333333333332,961,0.0,0.0,0.0,2.8660866539585963e-05,0.00026482084786239035,2.8660866539585963e-05,0.00026482084786239035,0.8709533999935957,projected,exchange,sin2pi_xy,opposite_boundary,triangle,none,all,4.988953887684256,4.617551341408237
8,8,128,0.125,0.08838834764831843,22,2816,anti,5.0,5.0,True,1.0,0.0039062499999999996,1280,0.0,0.0,0.0,6.84521002531053e-06,6.73847249933468e-05,6.84521002531053e-06,6.73847249933468e-05,1.3182049000024563,projected,exchange,sin2pi_xy,opposite_boundary,triangle,none,all,4.977659899346538,4.75745735495627
16,16,512,0.0625,0.044194173824159216,22,11264,anti,5.0,5.0,True,1.0,0.0019531249999999998,2560,0.0,0.0,0.0,2.1963054532731016e-07,2.3574606233707496e-06,2.1963054532731016e-07,2.3574606233707496e-06,6.235273199999938,projected,exchange,sin2pi_xy,opposite_boundary,triangle,none,all,4.961944189456465,4.837116014377438
32,32,2048,0.03125,0.022097086912079608,22,45056,anti,5.0,5.0,True,1.0,0.0009765624999999999,5120,0.0,0.0,0.0,7.46433967775052e-09,7.890050233994028e-08,7.46433967775052e-09,7.890050233994028e-08,88.91450980000081,projected,exchange,sin2pi_xy,opposite_boundary,triangle,none,all,4.878920262229777,4.9010553780131465
