nx,ny,K_tri,h,hmin,Np,total_dof,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,projection_enabled,projection_mode,projection_frequency,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,2.0,2.0,True,1.0,0.031249999999999997,64,1.177452722342646e-05,5.7147566637882896e-05,1.177452722342646e-05,5.7147566637882896e-05,0.019543700000212993,True,post,step,none,inflow,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,2.0,2.0,True,1.0,0.015624999999999998,128,7.553250610536903e-07,5.066971434541934e-06,7.553250610536903e-07,5.066971434541934e-06,0.047733299994433764,True,post,step,none,inflow,3.9624276678868395,3.495496468632952
4,4,32,0.25,0.17677669529663687,22,704,2.0,2.0,True,1.0,0.007812499999999999,256,5.0826181557212335e-08,3.162976157655706e-07,5.0826181557212335e-08,3.162976157655706e-07,0.1116838000016287,True,post,step,none,inflow,3.893453901160658,4.001769109523072
8,8,128,0.125,0.08838834764831843,22,2816,2.0,2.0,True,1.0,0.0039062499999999996,512,7.203037288530611e-09,3.489541733348034e-08,7.203037288530611e-09,3.489541733348034e-08,0.2799464999989141,True,post,step,none,inflow,2.8188945708844537,3.180173189945937
16,16,512,0.0625,0.044194173824159216,22,11264,2.0,2.0,True,1.0,0.0019531249999999998,1024,1.636284391561522e-09,8.727141120878912e-09,1.636284391561522e-09,8.727141120878912e-09,1.4830234000037308,True,post,step,none,inflow,2.138181857648275,1.9994565545434995
32,32,2048,0.03125,0.022097086912079608,22,45056,2.0,2.0,True,1.0,0.0009765624999999999,2048,4.0208896055562515e-10,2.182186764621008e-09,4.0208896055562515e-10,2.182186764621008e-09,16.18036540000321,True,post,step,none,inflow,2.0248368829012855,1.9997345447906614
