tf_scan,nx,ny,K_tri,h,hmin,Np,total_dof,diagonal,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,tau,tau_interior,tau_qb,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,surface_inverse_mass_mode,interior_trace_mode,test_function_mode,physical_boundary_mode,face_order_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
0.1,2,2,8,0.5,0.35355339059327373,22,176,anti,0.1,0.1,True,0.05,0.0011048543456039805,91,0.0,0.0,0.0,0.0023726636334097935,0.012870455417760829,0.0023726636334097935,0.012870455417760829,0.28876280000258703,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,nan,nan
0.1,4,4,32,0.25,0.17677669529663687,22,704,anti,0.1,0.1,True,0.05,0.0005524271728019902,182,0.0,0.0,0.0,0.00023893075698844864,0.001981336353586882,0.00023893075698844864,0.001981336353586882,0.7901000999991084,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,3.311843102195035,2.6995173844110862
0.2,2,2,8,0.5,0.35355339059327373,22,176,anti,0.2,0.2,True,0.05,0.0011048543456039805,182,0.0,0.0,0.0,0.005533834165327207,0.03348297184592153,0.005533834165327207,0.03348297184592153,0.5847040000080597,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,nan,nan
0.2,4,4,32,0.25,0.17677669529663687,22,704,anti,0.2,0.2,True,0.05,0.0005524271728019902,363,0.0,0.0,0.0,0.00028913862159793375,0.0024762343196261805,0.00028913862159793375,0.0024762343196261805,1.6852579999977024,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,4.258446176440045,3.757207838148337
