n_div,K,Nv,Np,total_dof,h,hmin,vmax,cfl,dt,tf_target,tf,reached_tf,nsteps,field_case,constant_value,error_reference,L2_error,Linf_error,max_abs_error,elapsed_sec,rate_L2,rate_Linf,gaussian_L2_error,gaussian_Linf_error,rate_gaussian_L2,rate_gaussian_Linf,const_L2_drift,const_Linf_drift,const_max_drift,rate_const_L2,rate_const_Linf
2,32,18,22,704,0.7653668647301795,0.7653668647301795,1.0000000000000002,1.0,0.03061467458920717,5.0,5.0,True,164,gaussian,1.0,exact_gaussian,0.06592159958019185,0.2247690685301852,0.2247690685301852,3.8042676000040956,nan,nan,0.06592159958019185,0.2247690685301852,nan,nan,nan,nan,nan,nan,nan
4,128,66,22,2816,0.32036448601393447,0.32036448601393447,1.0000000000000002,1.0,0.012814579440557375,5.0,5.0,True,391,gaussian,1.0,exact_gaussian,0.007937716081943968,0.03796101241677663,0.03796101241677663,1.7565649999887682,2.4306470261962985,2.0421658202891946,0.007937716081943968,0.03796101241677663,2.4306470261962985,2.0421658202891946,nan,nan,nan,nan,nan
8,512,258,22,11264,0.1417780401813586,0.1417780401813586,1.0000000000000002,1.0,0.005671121607254342,5.0,5.0,True,882,gaussian,1.0,exact_gaussian,0.00018762388163148788,0.0022078755990015964,0.0022078755990015964,17.054063899966422,4.5939119509959845,3.4893776016035587,0.00018762388163148788,0.0022078755990015964,4.5939119509959845,3.4893776016035587,nan,nan,nan,nan,nan
16,2048,1026,22,45056,0.06655587342062373,0.06655587342062373,1.0000000000000002,1.0,0.0026622349368249486,5.0,5.0,True,1879,gaussian,1.0,exact_gaussian,7.319647458502293e-06,0.00013524613299842336,0.00013524613299842336,141.48604320001323,4.289589178776585,3.6929547818223503,7.319647458502293e-06,0.00013524613299842336,4.289589178776585,3.6929547818223503,nan,nan,nan,nan,nan
