n_div,K,Nv,Np,total_dof,h,hmin,vmax,cfl,dt,flux_type,alpha_lf,tf_target,tf,reached_tf,initial_preset,center_x,center_y,center_z,mass0,mass,mass_error,mass_rel_error,nsteps,field_case,constant_value,error_reference,L2_error,Linf_error,max_abs_error,elapsed_sec,rate_L2,rate_Linf,gaussian_L2_error,gaussian_Linf_error,rate_gaussian_L2,rate_gaussian_Linf,const_L2_drift,const_Linf_drift,const_max_drift,rate_const_L2,rate_const_Linf
2,32,18,22,704,0.7653668647301795,0.7653668647301795,1.0000000000000002,1.0,0.015307337294603585,lax_friedrichs,2.0,6.28,6.28,True,custom,1.0,0.0,0.0,0.15413535929087585,0.13384922717947295,-0.0202861321114029,-0.1316124489846617,411,gaussian,1.0,exact_gaussian,0.10418352256208128,0.3795796442427059,0.3795796442427059,1.8633040999993682,nan,nan,0.10418352256208128,0.3795796442427059,nan,nan,nan,nan,nan,nan,nan
4,128,66,22,2816,0.32036448601393447,0.32036448601393447,1.0000000000000002,1.0,0.006407289720278687,lax_friedrichs,2.0,6.28,6.28,True,custom,1.0,0.0,0.0,0.1544855136870229,0.1539601495466401,-0.0005253641403827891,-0.003400734009579312,981,gaussian,1.0,exact_gaussian,0.008597032734365975,0.040639346585724434,0.040639346585724434,6.882538800011389,2.8645637560807637,2.5655508075838647,0.008597032734365975,0.040639346585724434,2.8645637560807637,2.5655508075838647,nan,nan,nan,nan,nan
8,512,258,22,11264,0.1417780401813586,0.1417780401813586,1.0000000000000002,1.0,0.002835560803627171,lax_friedrichs,2.0,6.28,6.28,True,custom,1.0,0.0,0.0,0.15448748853561206,0.15448503347249076,-2.4550631212982843e-06,-1.5891663102105188e-05,2215,gaussian,1.0,exact_gaussian,0.0002471175210999906,0.0014364787500914522,0.0014364787500914522,49.36720909998985,4.353929160226081,4.10028918121586,0.0002471175210999906,0.0014364787500914522,4.353929160226081,4.10028918121586,nan,nan,nan,nan,nan
