n_div,K,Nv,Np,total_dof,h,hmin,vmax,cfl,dt,tf_target,tf,reached_tf,initial_preset,center_x,center_y,center_z,mass0,mass,mass_error,mass_rel_error,nsteps,field_case,constant_value,error_reference,L2_error,Linf_error,max_abs_error,elapsed_sec,rate_L2,rate_Linf,gaussian_L2_error,gaussian_Linf_error,rate_gaussian_L2,rate_gaussian_Linf,const_L2_drift,const_Linf_drift,const_max_drift,rate_const_L2,rate_const_Linf
2,32,18,22,704,0.7653668647301795,0.7653668647301795,1.0000000000000002,1.0,0.03061467458920717,6.28,6.28,True,custom,1.0,0.0,0.0,6.281859234816672,6.280914678706155,-0.0009445561105163591,-0.00015036250816975283,206,constant,1.0,constant_drift,0.002846621412429361,0.009608104723112021,0.009608104723112021,2.190464499988593,nan,nan,nan,nan,nan,nan,0.002846621412429361,0.009608104723112021,0.009608104723112021,nan,nan
4,128,66,22,2816,0.32036448601393447,0.32036448601393447,1.0000000000000002,1.0,0.012814579440557375,6.28,6.28,True,custom,1.0,0.0,0.0,6.283027060706297,6.283065870934592,3.8810228295105276e-05,6.176995247692358e-06,491,constant,1.0,constant_drift,5.640789930168303e-05,0.00014809440150398423,0.00014809440150398423,2.957988900016062,4.502580422613831,4.791057434930682,nan,nan,nan,nan,5.640789930168303e-05,0.00014809440150398423,0.00014809440150398423,4.502580422613831,4.791057434930682
8,512,258,22,11264,0.1417780401813586,0.1417780401813586,1.0000000000000002,1.0,0.005671121607254342,6.28,6.28,True,custom,1.0,0.0,0.0,6.283173684797622,6.283174450063272,7.652656499601562e-07,1.21796036262971e-07,1108,constant,1.0,constant_drift,1.1029153044981643e-06,4.772424420984578e-06,4.772424420984578e-06,27.333745599957183,4.8266296943947244,4.2137017696113706,nan,nan,nan,nan,1.1029153044981643e-06,4.772424420984578e-06,4.772424420984578e-06,4.8266296943947244,4.2137017696113706
