mesh_level,h,field_case,flux_type,alpha_lf,initial_preset,center_x,center_y,center_z,mass0,mass,mass_error,mass_rel_error,error_reference,step_index,time,L2_error,Linf_error,max_abs_q,reached_tf,tf_used,nsteps
2,0.7653668647301795,gaussian,lax_friedrichs,1.5,custom,1.0,0.0,0.0,0.15413535929087585,0.15413535929087585,0.0,0.0,exact_gaussian,0,0.0,0.0,0.0,0.9887606884380052,True,1.0,49
2,0.7653668647301795,gaussian,lax_friedrichs,1.5,custom,1.0,0.0,0.0,0.15413535929087585,0.15413603009899787,6.708081220219153e-07,4.352071614897934e-06,exact_gaussian,1,0.020409783059471446,0.001622188364074124,0.009304480956174472,0.9942539039184456,True,1.0,49
2,0.7653668647301795,gaussian,lax_friedrichs,1.5,custom,1.0,0.0,0.0,0.15413535929087585,0.15413780073550246,2.441444626605227e-06,1.583961420557541e-05,exact_gaussian,2,0.04081956611894289,0.002886406530540207,0.015614041101106552,0.9991093628268916,True,1.0,49
2,0.7653668647301795,gaussian,lax_friedrichs,1.5,custom,1.0,0.0,0.0,0.15413535929087585,0.15414055047258682,5.19118171096733e-06,3.367936945065807e-05,exact_gaussian,3,0.06122934917841434,0.0041488989591964304,0.0208195991398419,1.0000686074315315,True,1.0,49
2,0.7653668647301795,gaussian,lax_friedrichs,1.5,custom,1.0,0.0,0.0,0.15413535929087585,0.15414424922473632,8.889933860473098e-06,5.7676148428061205e-05,exact_gaussian,4,0.08163913223788578,0.005461191070268516,0.02595812705965861,0.9960932215167089,True,1.0,49
2,0.7653668647301795,gaussian,lax_friedrichs,1.5,custom,1.0,0.0,0.0,0.15413535929087585,0.15414885492779945,1.3495636923599452e-05,8.755704716742653e-05,exact_gaussian,5,0.10204891529735723,0.0068314330828588175,0.035829239162125326,0.9868662802072817,True,1.0,49
2,0.7653668647301795,gaussian,lax_friedrichs,1.5,custom,1.0,0.0,0.0,0.15413535929087585,0.15415429149359167,1.8932202715815638e-05,0.0001228284204410736,exact_gaussian,6,0.12245869835682868,0.008256445252559988,0.04724032436439274,0.9723764142651702,True,1.0,49
2,0.7653668647301795,gaussian,lax_friedrichs,1.5,custom,1.0,0.0,0.0,0.15413535929087585,0.15416044894338665,2.5089652510801308e-05,0.0001627767478288579,exact_gaussian,7,0.14286848141630012,0.00972580821958733,0.05979223417252477,0.9711405287474781,True,1.0,49
2,0.7653668647301795,gaussian,lax_friedrichs,1.5,custom,1.0,0.0,0.0,0.15413535929087585,0.15416718845542177,3.182916454591567e-05,0.00020650138094432572,exact_gaussian,8,0.16327826447577157,0.011223458365981005,0.07304301364083032,0.993323644296926,True,1.0,49
2,0.7653668647301795,gaussian,lax_friedrichs,1.5,custom,1.0,0.0,0.0,0.15413535929087585,0.15417434771893715,3.898842806129843e-05,0.0002529492793909903,exact_gaussian,9,0.183688047535243,0.012729337806095104,0.08653424522736974,1.0115881505222142,True,1.0,49
