n_div,K,Nv,Np,total_dof,h,hmin,vmax,cfl,dt,flux_type,alpha_lf,tf_target,tf,reached_tf,initial_preset,center_x,center_y,center_z,mass0,mass,mass_error,mass_rel_error,nsteps,field_case,constant_value,error_reference,L2_error,Linf_error,max_abs_error,elapsed_sec,rate_L2,rate_Linf,gaussian_L2_error,gaussian_Linf_error,rate_gaussian_L2,rate_gaussian_Linf,const_L2_drift,const_Linf_drift,const_max_drift,rate_const_L2,rate_const_Linf
2,32,18,22,704,0.7653668647301795,0.7653668647301795,1.0000000000000002,1.0,0.03061467458920717,upwind,1.0,6.28,6.28,True,custom,1.0,0.0,0.0,0.15413535929087585,0.16041563302701325,0.006280273736137404,0.04074518504404699,206,gaussian,1.0,exact_gaussian,0.06624029631342981,0.2837806500787857,0.2837806500787857,0.7753053000196815,nan,nan,0.06624029631342981,0.2837806500787857,nan,nan,nan,nan,nan,nan,nan
4,128,66,22,2816,0.32036448601393447,0.32036448601393447,1.0000000000000002,1.0,0.012814579440557375,upwind,1.0,6.28,6.28,True,custom,1.0,0.0,0.0,0.1544855136870229,0.15415685651413183,-0.00032865717289107255,-0.0021274303657811537,491,gaussian,1.0,exact_gaussian,0.006298362249765023,0.032023341846252884,0.032023341846252884,3.5277422000071965,2.701814655167013,2.505163333140207,0.006298362249765023,0.032023341846252884,2.701814655167013,2.505163333140207,nan,nan,nan,nan,nan
8,512,258,22,11264,0.1417780401813586,0.1417780401813586,1.0000000000000002,1.0,0.005671121607254342,upwind,1.0,6.28,6.28,True,custom,1.0,0.0,0.0,0.15448748853561206,0.15448544701729872,-2.04151831334487e-06,-1.3214780903595727e-05,1108,gaussian,1.0,exact_gaussian,0.0002107016708639945,0.001540348947544623,0.001540348947544623,22.988780100014992,4.167830859980234,3.722360939049569,0.0002107016708639945,0.001540348947544623,4.167830859980234,3.722360939049569,nan,nan,nan,nan,nan
