n_div,K,Nv,Np,total_dof,h,hmin,vmax,cfl,dt,tf_target,tf_const,tf_gaussian,reached_tf_const,reached_tf_gaussian,nsteps_const,nsteps_gaussian,const_L2_drift,const_Linf_drift,const_max_drift,gaussian_L2_error,gaussian_Linf_error,elapsed_sec,rate_gaussian_L2,rate_gaussian_Linf,rate_const_L2,rate_const_Linf
2,32,18,22,704,0.7653668647301795,0.7653668647301795,1.0000000000000002,1.0,0.03061467458920717,0.1,0.1,0.1,True,True,4,4,0.0005662213577519515,0.0024461262448456367,0.0024461262448456367,0.009845224735447147,0.05380336755618209,8.009163599985186,nan,nan,nan,nan
4,128,66,22,2816,0.32036448601393447,0.32036448601393447,1.0000000000000002,1.0,0.012814579440557375,0.1,0.1,0.1,True,True,8,8,1.6474482963702683e-05,6.024648624558537e-05,6.024648624558537e-05,0.0009938498411294085,0.013292545647551418,0.03817340004025027,2.633099605555343,1.605395818140654,4.061532886576646,4.252880988578358
