n_div,K,Nv,Np,total_dof,h,L2,Linf,L2_divergence,Linf_divergence,max_surface_abs,elapsed_sec,rate_L2,rate_Linf
2,32,18,22,704,0.7653668647301795,0.009097544590172259,0.045613964348481854,0.009097544590172259,0.045613964348481854,0.0,0.31526270002359524,nan,nan
4,128,66,22,2816,0.32036448601393447,0.0002992995050097573,0.001459897507664414,0.0002992995050097573,0.001459897507664414,0.0,0.008057600003667176,3.920462840714184,3.9520769544877927
8,512,258,22,11264,0.1417780401813586,1.0691283323852218e-05,4.666533051245674e-05,1.0691283323852218e-05,4.666533051245674e-05,0.0,0.029142699961084872,4.087377051832918,4.2236681161017255
